Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc1,25,85,5.93888888888889,4.05777777777778,5.55388888888889,0.071741486066448,1094.59616289644,-383.86985416967,115.367401175897,36.1046068736832,50.1282890488838
sc4,100,243,5.50590361445783,3.89506024096386,5.65325301204819,0.158305912100167,1927.34039878071,-81.2836873960198,113.106502650962,10.6589432844867,32.719468262294
sc5,244,389,5.52487704918033,3.93770491803279,5.52684426229508,0.01498764359954,2646.89178438021,-342.433516721971,79.9505974874908,-13.2584810776793,30.6880711521954
sc6,391,400,5.73837837837838,3.79189189189189,5.43837837837838,0.164319567745095,1813.10130337941,-119.709971741134,123.073226750662,-7.36484368670715,28.3676776004814
sc7,402,440,5.45448598130841,4.21841121495327,5.59018691588785,0.099022450273438,2226.16128446811,-93.4132742596483,98.6433488530745,-7.40750576971059,28.2116714858605
sc8,444,450,5.24555555555556,4.04111111111111,4.91111111111111,0.210281532428178,1712.16485886399,-40.4164334512828,124.096112885573,4.76010983850753,21.7895197219676
sc9,451,470,5.56263157894737,3.95631578947368,5.57491228070176,0.065538747511986,2468.88832786646,-128.771021511295,88.2347495700541,-7.88928076309032,33.7188945272155
sc10,471,480,5.70878787878788,3.76272727272727,5.41424242424243,0.084765315781856,2390.78470091384,-110.734596058726,89.0250860243116,-20.5473378795989,28.8813199505108
sc13,540,588,5.13966101694915,4.01593220338983,5.3906779661017,0.114535326667434,1931.11054983161,-99.0407448265989,113.93783947161,-7.69467721769249,28.3195534906302
sc14,590,595,5.94166666666667,3.63333333333333,5.51,0.162097974502716,1147.96602346,-113.966193715095,158.124513221567,2.53124542011316,23.2103215620744
sc15,596,608,5.58238095238095,3.97333333333333,5.47,0.10778832206359,1582.83174733557,-122.260720731397,130.047608513865,-4.06491906130995,32.1199810518107
sc17,632,670,5.97586206896552,4.18551724137931,5.72931034482759,0.158599750675741,1357.71383080431,-114.29004813084,142.906702740935,19.6059164189073,11.1822225480341
sc18,671,720,6.05066666666667,3.78666666666667,5.72066666666667,0.018363982566783,2182.17833294836,-337.734644700706,100.326112742597,4.61226356299672,18.7834270825072
sc19,721,743,5.04947368421053,3.88,5.11789473684211,0.034234901569456,1765.89214881949,-338.929496503572,115.862986909132,20.5594203689293,30.1050888914766
sc20,745,859,5.45569620253165,3.97443037974684,5.49506329113924,0.024312286966156,2249.56618797746,-293.307246530892,93.047716408535,-0.191173366494137,41.8556629971214
sc21,860,892,5.38266666666667,3.62333333333333,5.17,0.0137646424851,2060.0524151825,-362.465534037961,100.240553453433,13.2937494617291,36.7900180838009
sc27,893,1050,5.24535947712418,4.23241830065359,5.24228758169935,0.023524649890388,2936.72215570762,-346.102750889379,68.9055560294963,7.99191969261848,32.3167296090558
sc28,1051,1100,5.75666666666667,3.7625,5.68333333333333,0.010493635104621,3443.85867192718,-336.840621162744,38.8846674588976,-20.866464823493,47.9051522542351
sc29,1101,1112,4.95777777777778,4.195,5.33055555555556,0.050206464270478,2896.38020591842,-206.112536087873,67.4815475563425,-8.28315472110853,29.4858951890742
sc30,1113,1130,5.674,4.084,5.626,0.078655581923123,1354.32015777095,-247.458041241272,140.487152423616,40.9835337271382,26.8696736194381
sc31,1185,1214,5.24901960784314,4.18921568627451,5.36960784313726,0.028695810567498,3525.84522296385,-270.236366425173,46.0847140302151,-8.58871683100976,26.997447241836
sc33,1225,1325,5.33601694915254,4.08898305084746,5.3921186440678,0.03831989065622,2355.07074875136,-269.714333101934,85.9399862671322,7.56577462320563,30.5728029743689
sc34,1326,1360,5.2952380952381,4.31428571428572,5.45428571428571,0.055424880611693,1900.37024609405,-248.091440840052,104.533970938512,20.4958098885817,28.0329039650683
sc36,1361,1380,4.93909090909091,4.26909090909091,5.48454545454545,0.017186680759548,2025.92891547915,-318.227598422044,99.695341223034,15.3711966625458,27.8393426443372
sc38,1400,1410,5.22777777777778,4.15944444444444,5.34888888888889,0.037683202076735,2228.51524374471,-239.073958977245,88.9478538707571,-5.17724283566099,23.425701676601
sc41,1415,1433,5.67307692307692,4.01461538461539,5.51269230769231,0.144030477277222,2008.59396736655,-75.5235241538734,108.525675910875,11.2363210326915,20.1374320780918
sc42,1435,1460,5.35322580645161,4.11193548387097,5.60451612903226,0.161207221691907,1944.65069063757,-83.5426723858879,110.080994074316,10.8222783600471,29.3628677773361
sc43,1461,1470,5.3564,4.1048,5.6644,0.252343051679646,2198.90830364099,-17.119082478686,103.876146837347,7.22967817819573,22.3128581198011
