Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc1,155,198,5.38854838709677,4.19725806451613,5.3291935483871,0.134774200183981,1277.39532982633,-144.392710078409,166.148198470216,-32.1551673320501,42.7752464921478
sc2,199,206,5.10636363636364,4.52,5.49181818181818,0.13909300289812,1701.617565919,-85.4691871516201,127.584764268402,-30.171757149284,44.1082722557589
sc3,207,270,4.87692307692308,4.6051282051282,5.12435897435898,0.237749554523682,1534.01800751776,-50.1207620085052,157.403332327672,-50.7288882565297,38.1698122603403
sc5,274,292,5.2125,4.4025,5.24678571428571,0.058563628171908,1498.16790199581,-204.919756043165,136.553030788813,-8.84450295384199,43.1742260232907
sc6,293,294,5.825,3.9175,5.79,0.066658401507352,1754.19426193728,-169.156730469848,119.343309628936,-26.8569442269229,40.3095759352602
sc7,297,332,5.70071428571429,3.98619047619047,5.41166666666667,0.039485786679531,1563.83887892175,-240.092596435151,142.131638742765,-29.8373133115075,44.5050311475341
sc8,341,372,4.91575,4.55675,5.27175,0.078027891460935,1675.96207487955,-186.161282701035,131.177370283198,-32.10298793501,37.7272522693422
sc9,373,394,5.481875,4.059375,5.3425,0.066392385292828,1184.63629199093,-248.02662645353,161.186995960322,-22.4003355322421,35.8157437432466
sc10,395,422,5.23744186046512,4.31325581395349,5.22558139534884,0.071848305605626,1563.68810121461,-195.292613663483,147.972400440126,-30.4310875504568,42.6995714803046
sc11,427,432,5.10583333333333,4.70583333333333,5.09083333333333,0.074021433527982,1588.24595307061,-157.456691929016,141.597373995665,-41.1677329826312,37.0425556327442
sc12,433,441,5.65615384615385,4.19692307692308,5.43384615384615,0.033002615836004,1823.94762262887,-224.309280869681,130.037033050279,-39.0636379224248,31.2807958614736
sc16,449,528,5.2243,4.0408,5.2998,0.056257027530595,1595.23068318791,-232.549687763687,136.02449654354,-16.2387205386876,40.4823046582355
sc17,529,534,5.46333333333333,4.02,5.35333333333333,0.179783350189452,1356.85198993065,-102.836284396908,145.58856154741,-26.7270123415827,41.0408731080663
sc18,535,628,5.51227848101266,3.80569620253164,5.28329113924051,0.016237343712085,1608.76565060482,-367.277298801477,136.429201604878,-12.3595748693011,35.1814410118988
sc19,629,680,5.07424242424242,3.87151515151515,5.13121212121212,0.028269852129085,1479.8197622599,-299.460960992937,144.327876271612,-22.4753793939179,16.6139997469424
sc21,681,775,5.33267605633803,3.96323943661972,5.09704225352113,0.018812395744051,1850.55550496555,-403.385816307478,128.989022678993,-22.2722714651242,11.975378780499
sc22,776,836,5.62066666666667,4.02866666666667,5.431,0.045340880363532,1572.16513597156,-227.851233682675,139.396778839715,-34.6151396539414,38.49398699108
sc23,840,885,5.0205,3.7625,5.2975,0.036441855846296,1415.53711527376,-254.911264845423,148.67070835648,-20.7335437959148,37.928750167693
sc24,887,900,5.305,3.404375,5.336875,0.050608760600684,1627.07543906319,-194.19185546538,131.840124538159,-14.5709204955633,30.0276673415862
sc25,901,909,5.74166666666667,4.01833333333333,5.19333333333333,0.103388353037874,1302.90432523372,-149.067598667116,166.15385883769,-34.9184415907171,33.45650611056
sc26,910,940,5.45266666666667,3.75066666666667,5.34733333333333,0.047783968107365,1228.08143150078,-244.758838177217,169.965334859713,-30.2510954034446,19.1740397941872
sc27,941,950,6.33666666666667,3.44333333333333,5.54,0.091701206282489,1251.60548498647,-189.89111526751,141.238109031152,-0.954936468024739,28.3790255294797
sc28,941,991,5.22058823529412,4.16558823529412,5.41441176470588,0.067006758767936,1239.66436634208,-234.958955987093,162.067991151992,-23.4880091477767,37.3389800255747
sc29,993,1177,5.543125,3.92098958333333,5.43958333333333,0.03850088443146,1723.63419828096,-253.775402915708,133.799093302446,-37.5752785595444,34.8540994209474
sc30,1180,1412,5.73480132450331,4.04162251655629,5.61264900662252,0.033842850505457,1654.15322044081,-288.486709004523,143.636614133797,-40.0290405249646,21.7618200829986
sc31,1413,1532,5.84176923076923,3.89861538461538,5.60446153846154,0.022624034222812,1378.99864993754,-358.137024828637,154.614537281642,-4.09292728963844,15.3613151192846
sc32,1533,1568,5.30125,3.77,5.22875,0.10442198393899,1168.14911441131,-234.448068593351,165.837838752872,-17.9343982249829,15.1521624113102
