"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"1160.0","1164.0","0.0","1.0","0.0","0.0","silent"
"1165.0","1197.0","0.066","0.906","0.028","-0.5575","silent"
"1198.0","1202.0","0.0","1.0","0.0","0.0","silent"
"1203.0","1230.0","0.092","0.767","0.141","0.4404","silent"
"1245.0","1257.0","0.086","0.745","0.169","0.5719","silent"
"1258.0","1366.0","0.024","0.865","0.11","0.9883","silent"
"1367.0","1470.0","0.052","0.877","0.07","0.5256","silent"
"1471.0","1589.0","0.068","0.852","0.079","0.7871","silent"
"1590.0","1610.0","0.099","0.827","0.074","-0.1197","silent"
"1614.0","1647.0","0.071","0.854","0.074","0.1531","silent"
"1648.0","1691.0","0.065","0.83","0.105","0.6808","silent"
"1692.0","1711.0","0.107","0.832","0.061","-0.6854","silent"
"1712.0","1770.0","0.088","0.868","0.044","-0.8619","silent"
"1771.0","1847.0","0.094","0.877","0.03","-0.8458","silent"
"1847.0","1851.0","0.0","1.0","0.0","0.0","silent"
"1852.0","1900.0","0.079","0.889","0.032","-0.7879","silent"
"1879.0","1944.0","0.073","0.824","0.103","0.2441","silent"
"1901.0","1915.0","0.092","0.771","0.137","0.4404","silent"
"1916.0","1938.0","0.229","0.771","0.0","-0.9541","silent"
"1945.0","1960.0","0.133","0.867","0.0","-0.4153","silent"
"1962.0","2002.0","0.073","0.872","0.054","-0.3649","silent"
"2003.0","2060.0","0.121","0.795","0.084","-0.9301","silent"
"2063.0","2065.0","0.0","1.0","0.0","0.0","silent"
"2069.0","2116.0","0.134","0.808","0.058","-0.9283","silent"
"2119.0","2167.0","0.126","0.773","0.101","-0.5411","silent"
"2168.0","2180.0","0.0","1.0","0.0","0.0","silent"
"2181.0","2200.0","0.111","0.841","0.047","-0.4898","silent"
"2201.0","2205.0","0.0","1.0","0.0","0.0","silent"
"2220.0","2235.0","0.049","0.861","0.09","0.453","silent"
"2236.0","2305.0","0.049","0.873","0.079","0.8741","silent"
"2306.0","2320.0","0.0","0.911","0.089","0.6199","silent"
"2321.0","2323.0","0.0","1.0","0.0","0.0","silent"
"2324.0","2348.0","0.208","0.699","0.093","-0.7476","silent"
"2349.0","2442.0","0.061","0.784","0.156","0.9545","silent"
"2443.0","2460.0","0.0","0.757","0.243","0.9337","silent"
"2461.0","2470.0","0.04","0.96","0.0","-0.516","silent"
"2471.0","2493.0","0.026","0.925","0.049","0.6184","silent"
"2494.0","2520.0","0.068","0.904","0.028","-0.4871","silent"
"2525.0","2608.0","0.103","0.897","0.0","-0.1531","silent"
"2608.0","2809.0","0.081","0.827","0.092","0.5815","silent"
"2851.0","3024.0","0.072","0.826","0.102","0.9322","silent"
"3028.0","3070.0","0.074","0.862","0.064","-0.6388","silent"
"3071.0","3111.0","0.045","0.894","0.061","0.2297","silent"
"3140.0","3194.0","0.019","0.932","0.049","0.5859","silent"
"3195.0","3226.0","0.114","0.845","0.041","-0.8984","silent"
"3230.0","3239.0","0.087","0.913","0.0","-0.296","silent"
"3240.0","3248.0","0.099","0.804","0.097","-0.0516","silent"
"3249.0","3253.0","0.124","0.876","0.0","-0.34","medium"
"3254.0","3262.0","0.0","0.904","0.096","0.2023","medium"
"3263.0","3269.0","0.0","1.0","0.0","0.0","silent"
"3270.0","3318.0","0.046","0.936","0.018","-0.643","silent"
"3319.0","3380.0","0.038","0.845","0.118","0.9455","silent"
"3381.0","3396.0","0.0","1.0","0.0","0.0","silent"
"3397.0","3411.0","0.031","0.851","0.119","0.6486","silent"
"3412.0","3484.0","0.061","0.817","0.121","0.9024","silent"
"3485.0","3498.0","0.0","1.0","0.0","0.0","silent"
"3505.0","3536.0","0.013","0.855","0.132","0.9605","silent"
"3537.0","3545.0","0.052","0.813","0.135","0.8588","silent"
"3546.0","3555.0","0.271","0.624","0.106","-0.7662","silent"
"3565.0","3581.0","0.05","0.898","0.052","0.0258","silent"
"3582.0","3590.0","0.212","0.788","0.0","-0.6249","silent"
"3591.0","3613.0","0.072","0.817","0.111","0.3853","silent"
"3614.0","3654.0","0.081","0.839","0.081","0.0","silent"
"3655.0","3684.0","0.095","0.824","0.081","0.4815","silent"
"3685.0","3690.0","0.094","0.906","0.0","-0.4019","silent"
"3693.0","3715.0","0.326","0.674","0.0","-0.6486","silent"
"3717.0","3793.0","0.108","0.876","0.016","-0.9551","silent"
"3795.0","3843.0","0.103","0.847","0.05","-0.9029","silent"
"3855.0","3898.0","0.078","0.884","0.038","-0.5943","silent"
"3899.0","4080.0","0.06","0.894","0.045","-0.5618","silent"
"4081.0","4101.0","0.143","0.63","0.227","0.25","silent"
"4102.0","4110.0","0.117","0.826","0.058","-0.5204","silent"
"4111.0","4120.0","0.0","0.874","0.126","0.5574","silent"
"4121.0","4131.0","0.189","0.755","0.057","-0.5994","silent"
"4132.0","4147.0","0.259","0.741","0.0","-0.7506","silent"
"4147.0","4180.0","0.101","0.899","0.0","-0.7319","silent"
"4183.0","4185.0","0.0","1.0","0.0","0.0","silent"
"4187.0","4234.0","0.095","0.846","0.059","-0.5719","silent"
"4237.0","4297.0","0.011","0.85","0.139","0.9767","silent"
"4298.0","4381.0","0.135","0.771","0.094","-0.8773","silent"
"4382.0","4435.0","0.062","0.85","0.088","0.8147","silent"
"4437.0","4475.0","0.077","0.891","0.032","-0.4939","silent"
"4479.0","4570.0","0.032","0.848","0.121","0.9714","silent"
"4572.0","4643.0","0.111","0.802","0.087","-0.4939","silent"
"4645.0","4660.0","0.0","0.816","0.184","0.7269","silent"
"4661.0","4680.0","0.073","0.927","0.0","-0.296","silent"
"4680.0","4700.0","0.038","0.849","0.113","0.5267","silent"
"4705.0","4719.0","0.0","0.535","0.465","0.832","silent"
"4720.0","4765.0","0.103","0.723","0.175","0.9091","silent"
"4766.0","4800.0","0.081","0.738","0.181","0.6808","silent"
"4810.0","4867.0","0.0","1.0","0.0","0.0","silent"
"4870.0","4889.0","0.198","0.802","0.0","-0.8555","silent"
"4909.0","4954.0","0.042","0.906","0.052","0.1759","silent"
"4955.0","5005.0","0.031","0.899","0.07","0.7398","silent"
"5006.0","5028.0","0.207","0.725","0.068","-0.7574","silent"
"5029.0","5033.0","0.167","0.833","0.0","-0.296","silent"
"5035.0","5102.0","0.056","0.877","0.067","0.5425","silent"
"5103.0","5135.0","0.228","0.746","0.026","-0.93","silent"
"5136.0","5220.0","0.083","0.843","0.074","-0.3485","silent"
"5222.0","5269.0","0.105","0.895","0.0","-0.8483","silent"
"5280.0","5307.0","0.131","0.82","0.049","-0.8213","silent"
"5309.0","5384.0","0.092","0.84","0.068","-0.4215","silent"
"5385.0","5431.0","0.077","0.787","0.136","0.8252","silent"
"5434.0","5450.0","0.205","0.635","0.16","-0.2617","silent"
"5455.0","5490.0","0.022","0.856","0.122","0.872","silent"
"5491.0","5520.0","0.074","0.787","0.14","0.8834","silent"
"5521.0","5552.0","0.087","0.888","0.025","-0.7248","silent"
"5553.0","5644.0","0.057","0.854","0.089","0.687","silent"
"5645.0","5650.0","0.0","0.855","0.145","0.5994","silent"
"5653.0","5685.0","0.112","0.82","0.068","-0.8585","silent"
"5686.0","5690.0","0.0","0.782","0.218","0.5994","silent"
"5691.0","5695.0","0.081","0.919","0.0","-0.3182","silent"
"5696.0","5701.0","0.0","1.0","0.0","0.0","silent"
"5702.0","5715.0","0.05","0.908","0.042","-0.128","silent"
"5717.0","5740.0","0.213","0.787","0.0","-0.9337","silent"
"5742.0","5775.0","0.096","0.904","0.0","-0.7184","silent"
"5805.0","5840.0","0.317","0.653","0.03","-0.9655","silent"
"5865.0","5883.0","0.19","0.728","0.082","-0.8531","silent"
"5885.0","5900.0","0.0","1.0","0.0","0.0","silent"
"5905.0","5920.0","0.125","0.844","0.031","-0.6523","silent"
"5923.0","5965.0","0.104","0.831","0.065","-0.5673","silent"
"5966.0","6120.0","0.056","0.937","0.007","-0.8608","silent"
"6121.0","6142.0","0.0","1.0","0.0","0.0","silent"
"6143.0","6148.0","0.0","0.772","0.228","0.7351","silent"
"6149.0","6154.0","0.0","0.679","0.321","0.5837","silent"
"6155.0","6157.0","0.0","0.82","0.18","0.296","silent"
"6157.0","6165.0","0.182","0.76","0.058","-0.6597","silent"
"6166.0","6224.0","0.121","0.781","0.098","-0.6876","silent"
"6225.0","6245.0","0.172","0.694","0.134","-0.5053","silent"
"6250.0","6258.0","0.076","0.924","0.0","-0.5067","silent"
"6259.0","6273.0","0.232","0.731","0.037","-0.9245","silent"
"6274.0","6276.0","0.119","0.58","0.301","0.5574","silent"
"6277.0","6281.0","0.431","0.569","0.0","-0.8442","silent"
"6282.0","6313.0","0.053","0.825","0.122","0.6747","silent"
"6314.0","6355.0","0.121","0.836","0.044","-0.8516","silent"
"6371.0","6413.0","0.065","0.909","0.027","-0.8726","silent"
"6420.0","6564.0","0.086","0.839","0.076","-0.4843","silent"
