Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Vader neg,Vader neu,Vader pos,Vader compound,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc1,40,90,5.87445378151261,3.7881512605042,5.72168067226891,0.066,0.861,0.073,0.4122,0.061233794150217,2507.40188948393,-252.952739740256,89.5210015885333,10.2106606508898,24.6931236962276
sc2,92,123,5.48108695652174,3.93326086956522,5.32630434782609,0.089,0.888,0.023,-0.9056,0.040607591573849,1201.2202152867,-332.677733739766,142.338558700769,24.748204207945,29.9966870275418
sc3,124,172,5.71923076923077,3.73358974358974,5.3748717948718,0.103,0.873,0.024,-0.886,0.053703920476962,1293.38694714721,-257.040985379639,144.162182006937,5.27725498618082,22.692427249358
sc4,173,202,4.72897435897436,4.45461538461538,4.82461538461538,0.223,0.77,0.007,-0.9877,0.211420270543438,2238.70917051347,-95.5691590421465,96.1405583413347,8.86453584859499,23.8197180713638
sc5,203,205,5.35,3.762,5.234,0,1,0,0,0.021669109377795,1980.24574947107,-304.726358326286,102.192802831714,25.1682058810366,31.9532397883644
sc6,206,225,6.0885,3.4695,5.6935,0,0.873,0.127,0.783,0.012747686508498,1679.59983450706,-359.903858391232,123.079075053107,-5.85221606388501,39.2905813935316
sc7,226,233,5.05083333333333,3.98416666666667,4.78083333333333,0.156,0.795,0.048,-0.5859,0.1073603336953,2184.18826882394,-92.2164809025502,98.2503040164801,-18.591285193429,21.4140682514612
sc8,234,240,5.5325,3.8775,5.5125,0,1,0,0,0.077811219378503,1868.31364038378,-145.419895913597,119.647982624565,-8.04611173881328,21.462936398952
sc9,241,326,5.38850393700788,3.93763779527559,5.46157480314961,0.086,0.857,0.057,-0.9365,0.144191014835524,2112.85093807302,-112.294533318113,105.019682827639,-5.62698696676878,27.5276748996613
sc10,327,405,5.23847619047619,3.92085714285714,5.27952380952381,0.063,0.912,0.025,-0.8798,0.124395125544646,1625.17027845602,-176.413950257338,126.202304076556,6.98292202794059,26.1935927716555
sc11,406,513,5.75977528089888,3.94584269662921,5.50988764044944,0.035,0.897,0.068,0.8915,0.009808401835726,2195.42006763943,-384.468366605233,98.4554543894639,8.93809061544378,26.6846583004538
sc13,514,580,5.95,4.12567567567568,5.91081081081081,0.035,0.781,0.183,0.9463,0.013349057577413,1854.54120868369,-408.003091196579,105.150782998548,14.5244019697717,36.0338615760003
sc14,581,716,5.91583941605839,3.88510948905109,5.62204379562044,0.041,0.893,0.066,0.935,0.096443794994687,2721.00836229022,-120.082053737867,72.2079809873951,8.37233528551158,43.1000047005141
sc15,717,721,5.88285714285714,4.18714285714286,6,0.219,0.781,0,-0.6523,0.067732606004151,3494.68836207965,-190.418446449355,28.2251621809841,3.97310822092846,45.4329376169401
sc16,722,724,5.45,3.6,5.54,0,1,0,0,0.024621778626181,2672.69435177246,-253.813785376395,77.9158336150711,-0.386329615290063,37.5179447891546
sc17,725,774,5.66862745098039,3.70745098039216,5.57921568627451,0.065,0.846,0.089,0.6597,0.016304223319393,2053.91869739938,-372.531925708932,108.642071892956,2.33832493968051,28.2628640485718
sc18,775,1007,5.54260663507109,3.8124644549763,5.42734597156398,0.09,0.833,0.077,-0.9392,0.031098131280229,1760.51774886082,-315.579533271647,119.756770341156,-2.80444396437404,27.3775996693824
sc19,1008,1020,5.35454545454545,4.35181818181818,5.34545454545455,0.101,0.899,0,-0.5574,0.036322978817968,2106.0988748597,-215.566167487553,99.8062124232239,-2.82892588878794,25.5452775974747
sc20,1021,1291,5.61614349775785,3.92569506726457,5.51860986547085,0.081,0.819,0.1,0.9072,0.019085180860361,2294.63815312727,-365.154744475615,94.1775052296504,13.8953978696337,27.1965440886666
sc21,1292,1355,5.75591836734694,3.87979591836735,5.52224489795918,0.113,0.823,0.064,-0.8982,0.017806894050751,2216.99273030901,-348.601034896828,101.704851922333,-2.04941001066704,22.8038153045893
sc26,1440,1500,5.23666666666667,4.18462962962963,5.3287037037037,0.093,0.863,0.044,-0.973,0.0640852339426,2496.55055356858,-156.992623675145,93.1321694598443,8.70093765741341,19.7012705239775
sc28,1525,1540,6.05772727272727,3.61909090909091,5.75545454545455,0.036,0.86,0.104,0.6369,0.022112090884981,1587.48378287495,-303.327894882683,134.045818231773,10.1127152011161,27.7503862854847
sc29,1541,1944,5.73012853470437,4.05665809768638,5.5774293059126,0.072,0.846,0.082,-0.7736,0.019832665303413,1789.58916594924,-359.528690313044,118.81378554769,11.7682838024977,30.3284264323765
sc30,1945,2071,5.45713414634146,3.97371951219512,5.38878048780488,0.067,0.83,0.103,0.9779,0.176244547109911,2352.32963870944,-49.7704865098349,95.7816431586164,5.12726891822028,16.1346019310141
sc31,2072,2102,4.12166666666667,4.03944444444444,4.885,0.125,0.875,0,-0.8519,0.263430790104685,1713.80809651351,-39.1421713332486,119.058331736852,5.66847588003226,26.20680554669
sc32,2103,2198,5.70875,3.89660714285714,5.63178571428571,0.086,0.851,0.063,-0.5905,0.044375659423996,1312.1721422599,-304.232183376838,121.344822684208,17.3459474914724,32.2343266295307
sc33,2199,2270,5.78552631578947,3.88605263157895,5.88973684210526,0.025,0.87,0.105,0.8985,0.026714815101519,1234.1134747575,-367.072941744694,120.964003559428,12.42407626724,38.7089693745794
sc34,2271,2280,5.97357142857143,3.95785714285714,5.58571428571429,0,0.872,0.128,0.6124,0.030910849868714,1687.59523959048,-285.646887781684,113.061816461633,18.3401380782103,34.9752831329423
sc35,2281,2364,5.56443037974683,3.91645569620253,5.52139240506329,0.033,0.914,0.053,0.6801,0.034595095665183,1692.44670002246,-294.415458346986,110.674547141272,15.7059148750091,35.1895163039559
sc36,2365,2635,5.77327731092437,4.1022268907563,5.51886554621849,0.069,0.874,0.057,-0.9521,0.04687289331167,1684.19100613874,-333.602411754897,129.365179059193,12.6775063079206,28.2958509479745
sc37,2636,2662,5.59590909090909,4.04818181818182,5.48590909090909,0.093,0.828,0.079,0.4153,0.072874835359391,2125.52418800622,-146.454259395714,103.445458728494,-9.03131461998433,30.0149563193779
sc38,2663,2794,5.70723684210526,4.06052631578948,5.52605263157895,0.099,0.823,0.079,-0.8406,0.013124282201352,1273.6151623741,-431.417960601335,118.746246569015,25.957400122389,36.4537671935535
sc40,2800,2871,6.1254347826087,4.05260869565217,5.83326086956522,0.022,0.87,0.108,0.9009,0.016512220349476,1272.70822788112,-435.595227092204,110.352443902619,30.2340945884934,38.5646728607959
