"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"5129.0","5131.0","0.085","0.709","0.206","0.5267","0.01977791609852234"
"5132.0","5134.0","0.0","1.0","0.0","0.0","0.01628111967628142"
"5134.0","5146.0","0.0","1.0","0.0","0.0","0.026434292537875353"
"5147.0","5155.0","0.094","0.852","0.055","-0.4215","0.06493651734044134"
"5156.0","5172.0","0.0","0.95","0.05","0.2023","0.026592779296710993"
"5187.0","5199.0","0.132","0.855","0.014","-0.884","0.12226211006939164"
"5200.0","5207.0","0.166","0.834","0.0","-0.8201","0.009351771928773293"
"5216.0","5230.0","0.183","0.817","0.0","-0.7998","0.014592751977515136"
"5231.0","5450.0","0.143","0.768","0.089","-0.9904","0.021297052042041888"
"5451.0","5468.0","0.034","0.821","0.145","0.7351","0.02622585971207098"
"5469.0","5486.0","0.11","0.818","0.072","-0.1531","0.01134312242751113"
"5487.0","5497.0","0.0","1.0","0.0","0.0","0.10848679341883201"
"5498.0","5605.0","0.094","0.795","0.11","0.7709","0.013612231486665844"
"5611.0","5667.0","0.108","0.85","0.042","-0.9701","0.017466886321354017"
"5670.0","5685.0","0.078","0.903","0.019","-0.8053","0.01804608017889349"
"5686.0","5840.0","0.038","0.849","0.113","0.9166","0.02050803056616192"
"5845.0","5921.0","0.049","0.857","0.094","0.5994","0.013224308506345957"
"5922.0","5933.0","0.079","0.87","0.052","-0.25","0.015836761754090142"
"5934.0","5950.0","0.141","0.72","0.139","-0.0258","0.09420191030380301"
"5951.0","5975.0","0.136","0.864","0.0","-0.8382","0.014392278165707135"
"5975.0","5980.0","0.113","0.723","0.165","0.2023","0.01276557137666176"
"5981.0","6065.0","0.096","0.871","0.033","-0.9455","0.011023756657045795"
"6066.0","6102.0","0.118","0.868","0.014","-0.8143","0.09953207130449547"
"6273.0","6295.0","0.199","0.801","0.0","-0.872","0.06152954396865084"
"6296.0","6305.0","0.0","0.758","0.242","0.4939","0.02437235656434995"
"6306.0","6328.0","0.077","0.903","0.02","-0.6476","0.15966457646481752"
"6329.0","6341.0","0.113","0.841","0.046","-0.3802","0.37981776467486517"
"6342.0","6350.0","0.266","0.734","0.0","-0.8814","0.15296394439355596"
"6351.0","6443.0","0.117","0.834","0.049","-0.9779","0.12874754613232636"
"6444.0","6456.0","0.0","1.0","0.0","0.0","0.022957326418662074"
