"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"3537.0","3545.0","0.052","0.813","0.135","0.8588","0.1463732623244812"
"3546.0","3555.0","0.271","0.624","0.106","-0.7662","0.08751717916161204"
"3565.0","3581.0","0.05","0.898","0.052","0.0258","0.059365323249999026"
"3582.0","3590.0","0.212","0.788","0.0","-0.6249","0.057167461652662586"
"3591.0","3613.0","0.072","0.817","0.111","0.3853","0.05060838017955063"
"3614.0","3654.0","0.081","0.839","0.081","0.0","0.1140779407602534"
"3655.0","3684.0","0.095","0.824","0.081","0.4815","0.08378593659359705"
"3685.0","3690.0","0.094","0.906","0.0","-0.4019","0.07887675064594854"
"3693.0","3715.0","0.326","0.674","0.0","-0.6486","0.09207886362242981"
"3717.0","3793.0","0.108","0.876","0.016","-0.9551","0.18379248304829812"
"3795.0","3843.0","0.103","0.847","0.05","-0.9029","0.18136651465933162"
"3855.0","3898.0","0.078","0.884","0.038","-0.5943","0.13420841283237345"
"3899.0","4080.0","0.06","0.894","0.045","-0.5618","0.14611391831535214"
"4081.0","4101.0","0.143","0.63","0.227","0.25","0.03430915973338143"
"4102.0","4110.0","0.117","0.826","0.058","-0.5204","0.03528892155061188"
"4111.0","4120.0","0.0","0.874","0.126","0.5574","0.11528643774341545"
"4121.0","4131.0","0.189","0.755","0.057","-0.5994","0.04019780299287333"
"4132.0","4147.0","0.259","0.741","0.0","-0.7506","0.10004999703177657"
"4147.0","4180.0","0.101","0.899","0.0","-0.7319","0.07044434881338965"
"4183.0","4185.0","0.0","1.0","0.0","0.0","0.03670689622474263"
"4187.0","4234.0","0.095","0.846","0.059","-0.5719","0.030228758590900507"
"4237.0","4297.0","0.011","0.85","0.139","0.9767","0.07561878191873303"
"4298.0","4381.0","0.135","0.771","0.094","-0.8773","0.02190536980279068"
"4382.0","4435.0","0.062","0.85","0.088","0.8147","0.03290854184337368"
"4437.0","4475.0","0.077","0.891","0.032","-0.4939","0.00815312526231656"
"4479.0","4570.0","0.032","0.848","0.121","0.9714","0.02075750727434741"
"4572.0","4643.0","0.111","0.802","0.087","-0.4939","0.030871005810786275"
"4645.0","4660.0","0.0","0.816","0.184","0.7269","0.0642503186184953"
"4661.0","4680.0","0.073","0.927","0.0","-0.296","0.0705976925826436"
"4680.0","4700.0","0.038","0.849","0.113","0.5267","0.008931772385585866"
"4705.0","4719.0","0.0","0.535","0.465","0.832","0.010009836649436409"
"4720.0","4765.0","0.103","0.723","0.175","0.9091","0.01307508057370093"
"4766.0","4800.0","0.081","0.738","0.181","0.6808","0.02189195794882897"
"4810.0","4867.0","0.0","1.0","0.0","0.0","0.022426172926520233"
"4870.0","4889.0","0.198","0.802","0.0","-0.8555","0.008723512264968576"
"4909.0","4954.0","0.042","0.906","0.052","0.1759","0.04574464171062011"
"4955.0","5005.0","0.031","0.899","0.07","0.7398","0.016629638362893807"
"5006.0","5028.0","0.207","0.725","0.068","-0.7574","0.03160244422305336"
"5029.0","5033.0","0.167","0.833","0.0","-0.296","0.013778374086131301"
"5035.0","5102.0","0.056","0.877","0.067","0.5425","0.012017385429577873"
"5103.0","5135.0","0.228","0.746","0.026","-0.93","0.08896009241325112"
"5136.0","5220.0","0.083","0.843","0.074","-0.3485","0.01171070218871268"
"5222.0","5269.0","0.105","0.895","0.0","-0.8483","0.011529251916636679"
"5280.0","5307.0","0.131","0.82","0.049","-0.8213","0.024758477272879626"
"5309.0","5384.0","0.092","0.84","0.068","-0.4215","0.09443913265527203"
"5385.0","5431.0","0.077","0.787","0.136","0.8252","0.024065147142763543"
"5434.0","5450.0","0.205","0.635","0.16","-0.2617","0.10294859669179705"
"5455.0","5490.0","0.022","0.856","0.122","0.872","0.037047772555178736"
"5491.0","5520.0","0.074","0.787","0.14","0.8834","0.03369469960399229"
"5521.0","5552.0","0.087","0.888","0.025","-0.7248","0.02160189526451417"
"5553.0","5644.0","0.057","0.854","0.089","0.687","0.006261024318488971"
"5645.0","5650.0","0.0","0.855","0.145","0.5994","0.17775004824237456"
"5653.0","5685.0","0.112","0.82","0.068","-0.8585","0.07398367709835676"
"5686.0","5690.0","0.0","0.782","0.218","0.5994","0.1260901417893644"
"5691.0","5695.0","0.081","0.919","0.0","-0.3182","0.08267840910666964"
"5696.0","5701.0","0.0","1.0","0.0","0.0","0.16286382373937996"
"5702.0","5715.0","0.05","0.908","0.042","-0.128","0.09214483311015621"
"5717.0","5740.0","0.213","0.787","0.0","-0.9337","0.07471381401022928"
"5742.0","5775.0","0.096","0.904","0.0","-0.7184","0.04257493004030742"
"5805.0","5840.0","0.317","0.653","0.03","-0.9655","0.04920785718208777"
"5865.0","5883.0","0.19","0.728","0.082","-0.8531","0.04686748702778625"
"5885.0","5900.0","0.0","1.0","0.0","0.0","0.07629159126469182"
"5905.0","5920.0","0.125","0.844","0.031","-0.6523","0.057324005832287236"
"5923.0","5965.0","0.104","0.831","0.065","-0.5673","0.09619488660527813"
"5966.0","6120.0","0.056","0.937","0.007","-0.8608","0.10566017263807202"
"6121.0","6142.0","0.0","1.0","0.0","0.0","0.03286197470934186"
"6143.0","6148.0","0.0","0.772","0.228","0.7351","0.02219050042570973"
"6149.0","6154.0","0.0","0.679","0.321","0.5837","0.024851058414387683"
"6155.0","6157.0","0.0","0.82","0.18","0.296","0.02005717996893349"
"6157.0","6165.0","0.182","0.76","0.058","-0.6597","0.03148943776436216"
"6166.0","6224.0","0.121","0.781","0.098","-0.6876","0.12173275192936253"
"6225.0","6245.0","0.172","0.694","0.134","-0.5053","0.125115471772046"
