Scene Start,Scene End,Valence,Arousal,Dominance,Vader neg,Vader neu,Vader pos,Vader compound,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
227,231,5.81133333333333,3.66933333333333,5.83533333333333,0.099,0.901,0,-0.5574,0.04801292004425,2564.4545446364,-167.250120479677,86.7923229204816,11.0090157884727,18.9557187268025
232,250,5.62181818181818,3.97909090909091,5.81727272727273,0,1,0,0,0.125206190890296,1946.01558181735,-81.9340063342407,111.817531235855,-4.77486437515432,23.7370269346301
251,282,5.47104166666667,3.999375,5.44,0.078,0.848,0.073,0.0452,0.049495919942895,1815.64748375102,-209.414990707696,118.747241043988,-2.48858586896649,20.4061743421018
283,318,5.55290322580645,4.09483870967742,5.63032258064516,0.099,0.751,0.15,0.7146,0.084958557351033,1969.12873968632,-140.765470887941,109.795667381357,1.75961134910916,22.4621566061133
319,370,5.58293103448276,4.00637931034483,5.50862068965517,0.109,0.834,0.057,-0.8816,0.141879764025805,2553.5567011834,-63.6899168590898,88.5961466219086,0.489816759508536,17.5860779805826
371,384,5.61909090909091,4.22090909090909,5.23090909090909,0.147,0.772,0.081,-0.2263,0.214446309700736,1620.29259248887,-49.0806856293403,131.495467336275,-9.60455557347692,23.0769993483802
385,408,4.73357142857143,4.41714285714286,5.17214285714286,0.122,0.878,0,-0.7783,0.213682253681325,534.881567624922,-277.378382745628,165.179838407125,30.3583854818988,30.9750653745324
426,431,5.36181818181818,4.35454545454545,5.38545454545455,0.073,0.884,0.043,-0.3182,0.086074016743129,2087.96292616841,-122.815754162831,104.350223740382,3.8321519195131,25.1470085906084
432,444,5.759,4.24,5.625,0.111,0.889,0,-0.5216,0.06067319147798,2434.57037092089,-178.642794488428,83.6953199844306,17.1296603887895,29.4701502315687
445,540,5.26,4.35344262295082,5.11196721311475,0.059,0.854,0.088,0.453,0.197416169793907,2402.07762436931,-31.3784657765258,90.9980316406093,-8.5612898521124,22.5794099823354
545,570,5.47714285714286,4.07857142857143,5.16857142857143,0.204,0.773,0.023,-0.9305,0.180457507605341,2163.97922254948,-39.1865612368304,104.089267946628,-8.29677973527065,18.5455388206004
575,590,5.38833333333333,3.78416666666667,4.97666666666667,0.171,0.736,0.092,-0.7227,0.055547661624961,2139.43251541738,-170.832017466391,98.5326930490873,7.38629290047572,31.2807041661108
592,595,5.05833333333333,3.64333333333333,4.89333333333333,0,1,0,0,0.049249580759134,2654.95111492915,-156.494746282472,82.9665143249823,3.42950295563479,23.0740237000802
622,783,5.59651376146789,4.15688073394495,5.47862385321101,0.091,0.831,0.078,-0.8867,0.064320939759271,1941.37224832874,-238.562240721868,101.124293091378,4.43580075746656,31.9558590850495
784,795,6.18285714285714,4.42857142857143,5.59142857142857,0,0.627,0.373,0.9588,0.038781241796875,1801.6158839603,-224.929283684799,120.38673827917,-1.72597036215346,22.1191788099677
796,808,5.968,3.918,5.6064,0.035,0.887,0.078,0.6775,0.028040743641228,2287.09092238057,-271.512354910978,102.569876449693,1.33127264545554,17.7342288262674
809,879,5.599375,4.1990625,5.384375,0.104,0.75,0.146,0.7156,0.209371023562436,1242.46425810691,-123.140584929722,141.018630333889,3.25942328776965,28.5228186494269
884,890,5.56769230769231,4.21384615384615,5.53384615384616,0,0.837,0.163,0.5994,0.032292586209956,534.609485518219,-395.572757524818,225.299106861857,24.5776854435725,-1.13444490786192
891,960,5.40735294117647,3.57617647058824,5.31323529411765,0.154,0.833,0.013,-0.9008,0.054977011961314,1088.97798871551,-277.285891852018,164.38300332208,9.05465870055291,32.1914761350223
961,1042,5.26230769230769,4.0425,5.38903846153846,0.03,0.925,0.046,0.4168,0.048846415042374,1255.45506342308,-283.239073137293,137.186391349668,19.907768440431,33.0393426491166
1043,1062,5.76142857142857,3.50928571428571,5.31214285714286,0.032,0.895,0.073,0.5267,0.041324059397805,2103.94352538728,-349.009120699463,112.508334517384,5.25494103298444,16.8303516842899
1064,1107,5.449,3.77033333333333,5.392,0.101,0.899,0,-0.8516,0.007481320053618,1989.72028555769,-427.714780960781,105.320229464046,5.66201281516387,21.8164386189518
1108,1159,5.64530612244898,3.86979591836735,5.53510204081633,0.013,0.929,0.058,0.7599,0.024361078300604,2206.26144517874,-316.3270210202,105.665656775406,-3.16600767246666,18.0970980435423
1160,1164,5.41285714285714,3.89428571428571,5.51571428571429,0,1,0,0,0.056218192734463,1669.25060524075,-236.137004345041,119.033212438921,-26.2472560953203,35.8910039551263
1165,1197,5.39612903225807,4.06870967741935,5.44612903225807,0.066,0.906,0.028,-0.5575,0.041018542207555,2126.7688571254,-243.867662733879,103.833644078709,-1.26438579368117,18.9709904284418
1198,1202,4.78666666666667,3.59333333333333,5.21,0,1,0,0,0.054236894611608,2157.85807189182,-170.234541148673,104.099400665984,-4.5751325817239,13.2340880752575
1203,1230,5.03384615384615,3.77576923076923,5.27923076923077,0.092,0.767,0.141,0.4404,0.043362601056455,1080.33666937575,-323.169787845639,162.964453220856,7.09760356855996,21.8145283201229
1245,1257,5.90176470588235,4.08,5.63588235294118,0.086,0.745,0.169,0.5719,0.025665557948125,1169.85710187687,-335.278497903054,144.521632190151,-10.9037922207492,27.7287476058535
1258,1366,5.67008547008547,3.88,5.51102564102564,0.024,0.865,0.11,0.9883,0.018778447887508,1780.9962554158,-357.353452906459,124.273583469757,-4.83503419763995,23.4610494965568
1367,1470,5.47563829787234,4.02106382978723,5.45446808510638,0.052,0.877,0.07,0.5256,0.042412030713499,1863.64291338465,-279.817696842744,115.099976720144,14.7503897733093,25.2643207933655
1471,1589,5.8065,4.04878571428571,5.63621428571429,0.068,0.852,0.079,0.7871,0.025681679837726,1780.18168234428,-324.803409558777,118.497143620358,-5.54900873761998,29.2651308811011
1590,1610,5.0359375,3.9965625,5.2740625,0.099,0.827,0.074,-0.1197,0.094773518904276,1584.78734201841,-148.453331328886,131.708948288958,-9.17833314609796,33.6169177002049
1614,1647,5.40016129032258,4.07193548387097,5.38758064516129,0.071,0.854,0.074,0.1531,0.063010027773547,1408.6872014562,-216.500799130701,137.42468738873,-4.55517844052883,33.5314252330796
1648,1691,5.32,3.51620689655172,5.62172413793104,0.065,0.83,0.105,0.6808,0.111340887493338,1548.1636432997,-123.076768209812,134.118817580399,-14.5591218919109,30.9970879845478
1692,1711,5.34088235294118,4.03352941176471,5.39911764705882,0.107,0.832,0.061,-0.6854,0.035297843042354,1585.76637760504,-285.638848093806,131.175129522557,7.76858367865289,25.7827425373654
1712,1770,5.65716981132075,3.90698113207547,5.50471698113208,0.088,0.868,0.044,-0.8619,0.03134406435834,1908.41612191576,-287.308122773395,110.615708120777,9.45725673479394,31.8658562049498
1771,1847,5.42045454545455,4.22977272727273,5.28113636363636,0.094,0.877,0.03,-0.8458,0.041055629624733,1240.61941872974,-336.182503836118,147.076060595717,9.69994479094383,31.9521023050194
1847,1851,5.59777777777778,3.37666666666667,4.93333333333333,0,1,0,0,0.125996082183369,997.029607918064,-267.838461990762,131.051876673964,13.5544022080735,44.4605518277535
1852,1900,5.03423076923077,4.49307692307692,5.31346153846154,0.079,0.889,0.032,-0.7879,0.127907278908612,1913.03811739542,-153.618854066422,103.196927544798,-3.30962201436873,35.9580562067541
1879,1944,4.92833333333333,5.00666666666667,5.24,0.073,0.824,0.103,0.2441,0.094701535112644,1593.62194584726,-233.781192144309,118.360389501715,-2.82295473791155,30.6700934507271
1901,1915,6.03636363636364,4.15636363636364,5.60818181818182,0.092,0.771,0.137,0.4404,0.040678455091198,1545.80655410176,-298.910150520989,126.655815040824,0.800143461186151,27.2508290311306
1916,1938,4.81764705882353,4.23941176470588,5.33117647058824,0.229,0.771,0,-0.9541,0.081543443615539,906.183141679193,-327.987194384454,140.72174744803,-2.90635266189938,31.6343175066986
1945,1960,5.05,4.236,5.472,0.133,0.867,0,-0.4153,0.219560430249176,2384.73314592342,-23.4961230008525,89.6822075087237,-1.14780965085524,25.7222277622983
1962,2002,5.63157894736842,4.05877192982456,5.57789473684211,0.073,0.872,0.054,-0.3649,0.080913471947156,2133.01843908019,-210.399976965834,94.9483886815536,11.7072848379213,32.63909325277
2003,2060,5.10317073170732,4.48975609756098,5.27817073170732,0.121,0.795,0.084,-0.9301,0.154285535485563,1978.81810787356,-135.090524033726,91.2020310211713,-7.69242499159868,35.4006767853515
2063,2065,4.81125,4.25625,4.92,0,1,0,0,0.220626949325554,2203.51356364531,-50.7402876863022,91.3553569812048,0.980049928398181,38.2600339324716
2069,2116,5.27618181818182,3.98145454545455,5.30890909090909,0.134,0.808,0.058,-0.9283,0.194977151147853,1818.40922536396,-65.0925261117711,115.071849188684,-9.89563413483826,27.2942520715781
2119,2167,4.98814814814815,4.23888888888889,5.17296296296296,0.126,0.773,0.101,-0.5411,0.12198485178086,1818.5455021399,-110.739207747153,123.457312610005,-23.7776316265252,18.7923073564226
2168,2180,4.84857142857143,3.78857142857143,5.15714285714286,0,1,0,0,0.016892914863739,1913.93281493156,-283.431147240929,124.283111052292,-4.3202710878268,7.81907211417924
2181,2200,5.25769230769231,4.40384615384615,5.45153846153846,0.111,0.841,0.047,-0.4898,0.138459494475748,1630.19958670836,-141.305737063832,126.527913034089,-14.2042688057456,32.5261409578869
2201,2205,5.2225,4.1925,5.65,0,1,0,0,0.216630637209242,2306.67822648257,-8.67239038556576,99.7456447719742,-21.5750654169292,19.7779255792517
2220,2235,5.239,4.261,5.337,0.049,0.861,0.09,0.453,0.141754911848176,1960.75611771304,-75.99654049281,117.447210766007,-20.689474421092,20.5057487957235
2236,2305,5.21262295081967,4.35262295081967,5.20885245901639,0.049,0.873,0.079,0.8741,0.102701635184962,2272.92336936092,-155.091237661886,94.5452978733203,1.37175409475173,23.178314840163
2306,2320,5.23357142857143,4.43428571428571,5.50285714285714,0,0.911,0.089,0.6199,0.037815973370522,1748.00602587796,-255.537705750884,125.926734225329,-13.219350013481,17.0312094882972
2321,2323,5.435,4.24,5.32,0,1,0,0,0.047787320090505,1708.9739780463,-240.947535341424,132.228812162576,-16.4770735673858,-1.15804280311329
2324,2348,5.32631578947368,3.86263157894737,5.29631578947368,0.208,0.699,0.093,-0.7476,0.072610713059099,1544.92296775944,-290.231183260858,97.0495400394664,9.56120497301142,34.2329798774986
2349,2442,5.60229166666667,3.84395833333333,5.48979166666667,0.061,0.784,0.156,0.9545,0.016323482119568,1893.31806869777,-315.177501915522,124.369802960124,-11.2155477479619,10.0338547473181
2443,2460,6.13105263157895,4.17263157894737,5.62631578947368,0,0.757,0.243,0.9337,0.049981908088739,2142.38462847902,-164.320207119978,101.492808605766,-19.5067638372879,19.697739370099
2461,2470,5.22233333333333,3.95666666666667,5.243,0.04,0.96,0,-0.516,0.047042838057512,1754.03998326662,-222.824025598926,119.288585005299,-11.3581874886434,36.6875569515431
2471,2493,5.70913043478261,3.8295652173913,5.29217391304348,0.026,0.925,0.049,0.6184,0.03484371467288,1948.5797542782,-248.918176153322,110.493862674386,-4.81589453344282,22.6321954836696
2494,2520,5.18757575757576,3.8,5.30030303030303,0.068,0.904,0.028,-0.4871,0.013666944284909,1719.5960727783,-349.797515599833,115.883176546258,-1.00727811969333,19.5428065537578
2525,2608,5.43333333333333,4.18333333333333,5.51833333333333,0.103,0.897,0,-0.1531,0.053797405171304,1566.2467331139,-264.681053166864,128.446653907944,-1.53125774722126,30.706538419946
2608,2809,5.32382550335571,4.07234899328859,5.32288590604027,0.081,0.827,0.092,0.5815,0.067862572740884,1970.90072951923,-220.338500454043,108.008605839648,7.92065029599803,22.9272318061077
2851,3024,5.48369565217391,4.11271739130435,5.44717391304348,0.072,0.826,0.102,0.9322,0.016082782043673,1768.2566952473,-330.257057281295,121.568328899262,5.929463923173,20.6326453174805
3028,3070,5.30634920634921,4.09253968253968,5.28333333333333,0.074,0.862,0.064,-0.6388,0.014374784323907,1777.51494808059,-374.060315399605,117.939796667075,14.6741577598746,27.2409458789474
3071,3111,5.48275,3.89575,5.38275,0.045,0.894,0.061,0.2297,0.016902740162321,1777.02571198577,-348.052778500314,117.62205581194,9.52961235467923,32.6303269676779
3140,3194,5.80625,4,5.49425,0.019,0.932,0.049,0.5859,0.019810014477842,1162.94741789998,-359.477665246945,155.053674986835,3.94928747390119,22.0883591024218
3195,3226,5.52323076923077,4.16846153846154,5.39738461538462,0.114,0.845,0.041,-0.8984,0.095935863152636,1874.09095723308,-139.527746421685,122.156870626559,-18.1399578028632,27.527745298017
3230,3239,5.064,3.914,5.64,0.087,0.913,0,-0.296,0.148078340830947,1558.0878279658,-71.5268127953001,134.046270021316,-8.73844964967389,21.1409719846222
3240,3248,5.65296296296296,3.82888888888889,5.38962962962963,0.099,0.804,0.097,-0.0516,0.013390286984833,2326.47725618097,-345.447835090451,94.9566549691292,-27.4004404254317,18.9052671846972
3249,3253,5.01666666666667,4.14166666666667,5.55166666666667,0.124,0.876,0,-0.34,0.309163776563527,2327.3296369181,-5.58246545648981,94.9397985396704,-6.25724655130582,33.6920934674158
3254,3262,5.798,4.134,5.618,0,0.904,0.096,0.2023,0.403882441713021,2143.88681782266,26.6511703514207,96.3201566210948,6.23962181558366,35.5163089820822
3263,3269,6.162,3.533,6.035,0,1,0,0,0.066537572266012,1707.17447207048,-179.097246583931,125.484765560577,7.17496858509274,22.9977385194917
3270,3318,5.58617647058824,3.96147058823529,5.51764705882353,0.046,0.936,0.018,-0.643,0.045319500173852,3102.83434044381,-253.464188794574,66.058694019667,-5.50631855343974,21.989579622411
3319,3380,5.74425531914894,3.85957446808511,5.55106382978724,0.038,0.845,0.118,0.9455,0.019407265528745,1885.54447771456,-347.556102298373,114.822748434689,2.18393877094119,21.9239714350458
