"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"155.0","198.0","5.405396825396825","4.188095238095239","5.335238095238095","0.15","0.814","0.037","-0.964","0.31224014786897214"
"199.0","206.0","5.1063636363636355","4.52","5.491818181818181","0.112","0.804","0.084","0.0516","0.2962180594292849"
"207.0","270.0","4.876923076923078","4.605128205128204","5.124358974358975","0.208","0.712","0.079","-0.9371","0.49543426402768614"
"274.0","292.0","5.2124999999999995","4.4025","5.246785714285714","0.135","0.787","0.078","-0.34","0.1228924459503822"
"293.0","294.0","6.078","3.8939999999999997","5.818","0.0","0.802","0.198","0.4939","0.12963467524243805"
"297.0","332.0","5.7007142857142865","3.986190476190475","5.411666666666666","0.103","0.856","0.041","-0.8731","0.0808564610565771"
"341.0","372.0","4.911111111111111","4.542","5.226444444444445","0.172","0.788","0.041","-0.9619","0.16282356919649904"
"373.0","394.0","5.482424242424242","4.086363636363637","5.336363636363636","0.123","0.854","0.023","-0.8669","0.13941683292211587"
"395.0","422.0","5.2374418604651165","4.3132558139534884","5.225581395348837","0.162","0.805","0.033","-0.9579","0.1593862554108803"
"427.0","432.0","5.105833333333334","4.7058333333333335","5.090833333333333","0.303","0.697","0.0","-0.91","0.1729591558701862"
"433.0","441.0","5.656153846153846","4.196923076923077","5.4338461538461535","0.062","0.676","0.262","0.8537","0.07234530069211274"
"449.0","528.0","5.20247619047619","4.065333333333333","5.343904761904762","0.182","0.764","0.054","-0.9934","0.11847826551413748"
"529.0","534.0","5.463333333333334","4.02","5.353333333333333","0.0","1.0","0.0","0.0","0.3744286421943161"
"535.0","628.0","5.512278481012659","3.8056962025316445","5.283291139240506","0.071","0.895","0.034","-0.8784","0.039863732551062535"
"629.0","680.0","5.074242424242424","3.8715151515151516","5.131212121212121","0.193","0.682","0.125","-0.8185","0.05858299787396905"
