"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"40.0","112.0","5.507142857142857","4.384166666666667","5.336785714285716","0.091","0.848","0.061","-0.5282","0.300413932347538"
"112.0","129.0","4.977857142857142","4.002142857142856","5.3621428571428575","0.17","0.83","0.0","-0.7783","0.5304781912582016"
"130.0","148.0","5.881363636363636","4.732727272727273","5.654090909090909","0.091","0.673","0.236","0.9221","0.39818444645436285"
"148.0","163.0","5.287272727272727","4.054545454545454","5.453636363636364","0.141","0.805","0.054","-0.6041","0.3507136549291219"
"164.0","186.0","5.714857142857143","3.7305714285714284","5.700285714285715","0.057","0.897","0.046","-0.4019","0.3615367403826216"
"186.0","660.0","5.174498777506113","4.302078239608802","5.238410757946211","0.091","0.846","0.064","-0.9935","0.6229691926096707"
"661.0","684.0","5.65090909090909","3.772727272727273","5.416969696969697","0.117","0.792","0.091","-0.6486","0.0579596781327095"
"685.0","751.0","5.445764705882353","4.122000000000001","5.404000000000001","0.105","0.844","0.051","-0.9356","0.022281982403120532"
"752.0","915.0","5.114475138121547","4.061602209944751","5.277900552486187","0.09","0.862","0.048","-0.9841","0.2625418323066114"
"915.0","991.0","5.272499999999999","4.08925","5.334","0.092","0.833","0.075","-0.5938","0.3463013731358288"
"992.0","1017.0","4.615","3.6775","5.0725","0.0","1.0","0.0","0.0","0.20732691471056267"
"1018.0","1024.0","5.378461538461538","4.167692307692308","5.398461538461539","0.0","0.924","0.076","0.34","0.4698366735308464"
"1025.0","1034.0","5.375","3.95","5.2475000000000005","0.0","0.779","0.221","0.6249","0.28961516151731587"
"1035.0","1044.0","4.906428571428571","3.7364285714285708","5.234999999999999","0.112","0.888","0.0","-0.5267","0.2995483819876784"
"1045.0","1058.0","5.3277777777777775","4.573333333333333","5.605555555555556","0.0","0.948","0.052","0.2023","0.2328797952533631"
"1059.0","1169.0","5.036861313868613","4.115985401459854","5.304963503649635","0.067","0.898","0.036","-0.9364","0.06955934621814236"
"1170.0","1368.0","5.305934065934066","4.126153846153846","5.300769230769231","0.104","0.814","0.082","-0.968","0.0751619934150872"
"1369.0","1402.0","5.427631578947368","3.8600000000000003","5.423684210526316","0.0","0.976","0.024","0.3612","0.04006147043943499"
"1403.0","1424.0","5.4575471698113205","3.7830188679245285","5.515094339622642","0.03","0.924","0.046","0.4404","0.022674794435434725"
"1424.0","1530.0","5.6053125","3.7384375000000003","5.2993749999999995","0.098","0.829","0.073","-0.2748","0.03167706201226677"
"1530.0","1622.0","4.927627118644068","4.03728813559322","5.256271186440678","0.106","0.845","0.049","-0.9231","0.13589283917195843"
"1623.0","1647.0","5.340471698113209","4.165754716981131","5.282452830188679","0.071","0.844","0.084","0.8162","0.08925321179902998"
"1648.0","1864.0","5.34120253164557","4.211265822784809","5.387215189873418","0.119","0.824","0.057","-0.9871","0.13874585883338938"
"1865.0","1984.0","5.5287500000000005","4.0565625","5.4506250000000005","0.073","0.865","0.061","-0.2844","0.07896503456501712"
