Movie,Vader Compound,Vader Neg,Vader Pos,Vader Neu,Genre
body-of-evidence,0.9992,0.109,0.112,0.778,Thriller
bodyguard,1,0.082,0.108,0.81,Thriller
bonfire-of-the-vanities,1,0.083,0.125,0.792,Comedy
boogie-nights,1,0.085,0.146,0.769,Drama
boondock-saints-2-all-saints-day,-1,0.125,0.098,0.777,Drama
bound,-0.9998,0.11,0.1,0.79,Thriller
boyhood,1,0.069,0.198,0.733,Drama
braveheart,-1,0.124,0.096,0.78,Action
breakdown,-1,0.096,0.064,0.84,Thriller
brick,0.9999,0.084,0.105,0.811,Drama
bridesmaids,1,0.081,0.175,0.744,Comedy
bringing-out-the-dead,-1,0.123,0.094,0.783,Drama
broken-arrow,-1,0.099,0.058,0.842,Adventure
broken-embraces,1,0.078,0.098,0.823,Thriller
bull-durham,-0.9998,0.129,0.118,0.753,Drama
buried,0.9998,0.093,0.113,0.794,Drama
burlesque,1,0.074,0.127,0.799,Musical
burn-after-reading,0.9999,0.084,0.104,0.811,Crime
burning-annie,1,0.106,0.144,0.75,Comedy
cable-guy,1,0.079,0.126,0.794,Drama
candle-to-water,-1,0.145,0.113,0.742,Drama
capote,0.9999,0.088,0.105,0.807,Crime
carrie,0.9986,0.102,0.106,0.792,Thriller
cars-2,1,0.096,0.121,0.783,Action
case-39,-1,0.128,0.096,0.776,Horror
casino,1,0.09,0.119,0.791,Crime
cast-away,0.9967,0.093,0.094,0.813,Adventure
catwoman,-1,0.128,0.077,0.795,Crime
cedar-rapids,1,0.085,0.153,0.762,Comedy
celeste-&-jesse-forever,1,0.1,0.173,0.727,Romance
cellular,-1,0.127,0.089,0.783,Crime
changeling,0.9998,0.098,0.106,0.796,Crime
chaos,-1,0.104,0.077,0.819,Drama
charade,0.9996,0.08,0.087,0.833,Comedy
charlie's-angels,0.9999,0.085,0.101,0.814,Action
chasing-sleep,0.993,0.097,0.098,0.805,Horror
cherry-falls,-1,0.139,0.094,0.767,Horror
chinatown,0.9935,0.087,0.088,0.825,Crime
christ-complex,-0.9963,0.117,0.112,0.771,Fantasy
chronicle,-0.9999,0.136,0.11,0.754,Drama
cirque-du-freak-the-vampire's-assistant,-0.9999,0.113,0.097,0.79,Thriller
citizen-kane,1,0.068,0.109,0.823,Drama
city-of-joy,1,0.08,0.124,0.796,Drama
clash-of-the-titans,-0.9998,0.116,0.103,0.782,Drama
clerks,-0.9999,0.12,0.112,0.768,Comedy
cliffhanger,-1,0.106,0.082,0.812,Action
cobb,0.9999,0.118,0.132,0.75,Drama
code-of-silence,-1,0.102,0.063,0.835,Drama
cold-mountain,-0.7897,0.099,0.097,0.804,Romance
collateral-damage,-1,0.102,0.07,0.828,Action
collateral,-1,0.101,0.075,0.823,Crime
colombiana,-0.9975,0.093,0.093,0.814,Action
commando,-1,0.089,0.047,0.865,Action
conan-the-barbarian,-1,0.135,0.081,0.783,Adventure
confessions-of-a-dangerous-mind,0.9999,0.107,0.13,0.763,Drama
confidence,1,0.086,0.125,0.789,Drama
constantine,-1,0.107,0.081,0.812,Thriller
coraline,1,0.092,0.112,0.796,Fantasy
coriolanus,-0.9999,0.143,0.119,0.737,Drama
cowboys-&-aliens,-1,0.138,0.084,0.778,Action
cradle-2-the-grave,-0.9999,0.102,0.081,0.817,Action
crank,-0.9999,0.109,0.093,0.798,Crime
crash,-0.9996,0.089,0.077,0.834,Romance
"crazy,-stupid,-love",1,0.097,0.155,0.748,Comedy
crazylove,1,0.073,0.132,0.794,Drama
creation,0.9942,0.1,0.103,0.797,Drama
crime-spree,-0.9999,0.091,0.083,0.826,Crime
croupier,1,0.082,0.113,0.805,Drama
cruel-intentions,1,0.118,0.157,0.725,Drama
custody,1,0.08,0.122,0.798,Comedy
dallas-buyers-club,-0.9994,0.101,0.095,0.804,Drama
dances-with-wolves,0.9999,0.087,0.094,0.819,Western
dark-city,-1,0.102,0.074,0.824,Sci-Fi
darkman,-0.9996,0.105,0.098,0.797,Crime
date-night,1,0.082,0.11,0.808,Romance
dave-barry's-complete-guide-to-guys,0.9999,0.072,0.105,0.823,Comedy
day-of-the-dead,-1,0.135,0.082,0.783,Drama
dead-poets-society,1,0.07,0.124,0.805,Drama
deadpool,-1,0.118,0.097,0.785,Comedy
dear-white-people,1,0.094,0.126,0.78,Comedy
death-at-a-funeral,-0.9999,0.123,0.103,0.774,Comedy
death-to-smoochy,1,0.09,0.128,0.782,Comedy
deception,1,0.087,0.109,0.805,Romance
deep-cover,-0.9999,0.111,0.097,0.792,Crime
defiance,-1,0.116,0.087,0.797,Thriller
despicable-me-2,0.9999,0.091,0.115,0.794,Comedy
detroit-rock-city,1,0.102,0.122,0.776,Comedy
devil's-advocate,0.9999,0.101,0.12,0.779,Drama
devil-in-a-blue-dress,1,0.085,0.143,0.771,Mystery
die-hard-2,-0.9999,0.1,0.089,0.811,Action
die-hard,-1,0.106,0.081,0.813,Action
diner,1,0.073,0.108,0.818,Drama
disturbia,0.9985,0.074,0.08,0.846,Thriller
dog-day-afternoon,-0.9999,0.099,0.086,0.815,Thriller
dogma,-1,0.129,0.111,0.761,Comedy
double-indemnity,0.9999,0.07,0.087,0.843,Drama
drag-me-to-hell,0.9998,0.091,0.106,0.804,Horror
drive-angry,-1,0.133,0.08,0.787,Crime
drive,1,0.074,0.104,0.822,Drama
drop-dead-gorgeous,1,0.075,0.148,0.777,Comedy
