"Scene Start","Scene End","Anger","Anticipation","Disgust","Fear","Joy","Negative","Positive","Sadness","Surprise","Trust","Audio Energy"
"232.0","250.0","0.1","0.0","0.0","0.1","0.1","0.0","0.2","0.0","0.0","0.3","0.1252061908902964"
"251.0","282.0","0.07547169811320754","0.07547169811320754","0.0","0.07547169811320754","0.05660377358490566","0.18867924528301888","0.16981132075471697","0.05660377358490566","0.05660377358490566","0.09433962264150944","0.049495919942894706"
"283.0","318.0","0.0","0.041666666666666664","0.08333333333333333","0.08333333333333333","0.041666666666666664","0.08333333333333333","0.2916666666666667","0.08333333333333333","0.041666666666666664","0.125","0.08495855735103322"
"319.0","370.0","0.09090909090909091","0.022727272727272728","0.022727272727272728","0.11363636363636363","0.0","0.13636363636363635","0.11363636363636363","0.09090909090909091","0.045454545454545456","0.11363636363636363","0.1418797640258055"
"371.0","384.0","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.0","0.1","0.0","0.21444630970073622"
"385.0","408.0","0.2","0.0","0.13333333333333333","0.2","0.0","0.3333333333333333","0.0","0.13333333333333333","0.0","0.0","0.21368225368132482"
"426.0","431.0","0.1111111111111111","0.1111111111111111","0.0","0.1111111111111111","0.0","0.3333333333333333","0.2222222222222222","0.1111111111111111","0.0","0.1111111111111111","0.08607401674312926"
"432.0","444.0","0.1111111111111111","0.1111111111111111","0.1111111111111111","0.1111111111111111","0.0","0.1111111111111111","0.2222222222222222","0.0","0.0","0.1111111111111111","0.06067319147797981"
"445.0","540.0","0.1111111111111111","0.05555555555555555","0.018518518518518517","0.18518518518518517","0.018518518518518517","0.24074074074074073","0.09259259259259259","0.037037037037037035","0.05555555555555555","0.09259259259259259","0.19741616979390691"
"545.0","570.0","0.1111111111111111","0.0","0.16666666666666666","0.05555555555555555","0.0","0.2777777777777778","0.0","0.05555555555555555","0.05555555555555555","0.0","0.18045750760534068"
"575.0","590.0","0.0625","0.0625","0.125","0.0625","0.0625","0.125","0.125","0.0625","0.0","0.1875","0.05554766162496106"
"592.0","595.0","0.2857142857142857","0.0","0.14285714285714285","0.42857142857142855","0.0","0.5714285714285714","0.0","0.2857142857142857","0.0","0.0","0.049249580759134"
"622.0","783.0","0.09448818897637795","0.03937007874015748","0.08661417322834646","0.07874015748031496","0.031496062992125984","0.1968503937007874","0.08661417322834646","0.08661417322834646","0.015748031496062992","0.031496062992125984","0.06432093975927083"
"784.0","795.0","0.1","0.2","0.1","0.2","0.1","0.2","0.2","0.1","0.1","0.2","0.0387812417968751"
"796.0","808.0","0.0","0.05555555555555555","0.05555555555555555","0.05555555555555555","0.1111111111111111","0.05555555555555555","0.2777777777777778","0.05555555555555555","0.05555555555555555","0.2222222222222222","0.028040743641227547"
"809.0","879.0","0.07142857142857142","0.03571428571428571","0.14285714285714285","0.17857142857142858","0.07142857142857142","0.2857142857142857","0.14285714285714285","0.0","0.03571428571428571","0.10714285714285714","0.2093710235624361"
"884.0","890.0","0.0","0.1","0.0","0.0","0.1","0.0","0.2","0.0","0.1","0.1","0.0322925862099556"
"891.0","960.0","0.037037037037037035","0.037037037037037035","0.0","0.037037037037037035","0.037037037037037035","0.07407407407407407","0.18518518518518517","0.0","0.0","0.18518518518518517","0.05497701196131443"
"961.0","1042.0","0.07407407407407407","0.07407407407407407","0.037037037037037035","0.037037037037037035","0.0","0.1111111111111111","0.16666666666666666","0.018518518518518517","0.018518518518518517","0.037037037037037035","0.048846415042373935"
"1043.0","1062.0","0.05555555555555555","0.0","0.05555555555555555","0.05555555555555555","0.0","0.1111111111111111","0.16666666666666666","0.1111111111111111","0.0","0.1111111111111111","0.041324059397804945"
"1064.0","1107.0","0.125","0.125","0.041666666666666664","0.16666666666666666","0.0","0.20833333333333334","0.125","0.125","0.041666666666666664","0.041666666666666664","0.007481320053617895"
"1108.0","1159.0","0.06666666666666667","0.1111111111111111","0.0","0.06666666666666667","0.044444444444444446","0.08888888888888889","0.24444444444444444","0.06666666666666667","0.0","0.08888888888888889","0.024361078300603595"
"1160.0","1164.0","0.0","0.0","0.0","0.0","0.0","0.14285714285714285","0.2857142857142857","0.0","0.0","0.0","0.05621819273446325"
"1165.0","1197.0","0.0","0.03125","0.0625","0.0","0.03125","0.15625","0.125","0.03125","0.0625","0.125","0.041018542207554624"
"1198.0","1202.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.054236894611608"
"1203.0","1230.0","0.0","0.08695652173913043","0.0","0.13043478260869565","0.0","0.17391304347826086","0.17391304347826086","0.08695652173913043","0.0","0.08695652173913043","0.04336260105645525"
"1245.0","1257.0","0.0","0.0625","0.0","0.0","0.0625","0.0","0.125","0.0625","0.0625","0.0625","0.025665557948124702"
"1258.0","1366.0","0.017699115044247787","0.04424778761061947","0.02654867256637168","0.04424778761061947","0.05309734513274336","0.07079646017699115","0.168141592920354","0.07964601769911504","0.04424778761061947","0.11504424778761062","0.018778447887507564"
"1367.0","1470.0","0.042105263157894736","0.05263157894736842","0.05263157894736842","0.12631578947368421","0.042105263157894736","0.14736842105263157","0.14736842105263157","0.05263157894736842","0.021052631578947368","0.07368421052631578","0.042412030713499076"
"1471.0","1589.0","0.040983606557377046","0.040983606557377046","0.05737704918032787","0.07377049180327869","0.05737704918032787","0.13934426229508196","0.13934426229508196","0.02459016393442623","0.06557377049180328","0.09836065573770492","0.025681679837725915"
"1590.0","1610.0","0.038461538461538464","0.0","0.15384615384615385","0.07692307692307693","0.038461538461538464","0.2692307692307692","0.23076923076923078","0.07692307692307693","0.0","0.3076923076923077","0.09477351890427593"
"1614.0","1647.0","0.125","0.041666666666666664","0.041666666666666664","0.125","0.041666666666666664","0.16666666666666666","0.14583333333333334","0.020833333333333332","0.0625","0.10416666666666667","0.0630100277735466"
"1648.0","1691.0","0.04","0.04","0.08","0.0","0.0","0.12","0.12","0.04","0.0","0.2","0.11134088749333841"
"1692.0","1711.0","0.03125","0.03125","0.03125","0.09375","0.0","0.125","0.09375","0.0625","0.0625","0.0625","0.035297843042354005"
"1712.0","1770.0","0.05660377358490566","0.09433962264150944","0.018867924528301886","0.09433962264150944","0.05660377358490566","0.18867924528301888","0.16981132075471697","0.11320754716981132","0.018867924528301886","0.05660377358490566","0.03134406435833958"
"1771.0","1847.0","0.08","0.02","0.12","0.18","0.04","0.2","0.12","0.12","0.04","0.04","0.04105562962473294"
"1847.0","1851.0","0.0","0.0","0.0","0.0","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.0","0.0","0.14285714285714285","0.12599608218336833"
"1852.0","1900.0","0.10714285714285714","0.07142857142857142","0.10714285714285714","0.14285714285714285","0.07142857142857142","0.2857142857142857","0.10714285714285714","0.07142857142857142","0.07142857142857142","0.07142857142857142","0.12790727890861167"
"1879.0","1944.0","0.14285714285714285","0.0","0.0","0.14285714285714285","0.14285714285714285","0.2857142857142857","0.14285714285714285","0.0","0.0","0.0","0.09470153511264393"
"1901.0","1915.0","0.125","0.0","0.0","0.125","0.0","0.125","0.25","0.0","0.0","0.0","0.040678455091197545"
"1916.0","1938.0","0.15384615384615385","0.07692307692307693","0.15384615384615385","0.23076923076923078","0.0","0.46153846153846156","0.0","0.15384615384615385","0.0","0.0","0.0815434436155391"
"1945.0","1960.0","0.2","0.0","0.0","0.2","0.0","0.4","0.0","0.4","0.2","0.0","0.21956043024917615"
"1962.0","2002.0","0.08888888888888889","0.06666666666666667","0.044444444444444446","0.06666666666666667","0.13333333333333333","0.15555555555555556","0.15555555555555556","0.022222222222222223","0.13333333333333333","0.1111111111111111","0.0809134719471556"
"2003.0","2060.0","0.19402985074626866","0.0","0.1044776119402985","0.208955223880597","0.014925373134328358","0.26865671641791045","0.05970149253731343","0.1044776119402985","0.04477611940298507","0.029850746268656716","0.15428553548556262"
"2063.0","2065.0","0.125","0.0","0.125","0.25","0.125","0.375","0.125","0.125","0.25","0.125","0.220626949325554"
"2069.0","2116.0","0.1","0.08","0.06","0.12","0.02","0.22","0.18","0.1","0.08","0.04","0.19497715114785322"
"2119.0","2167.0","0.09375","0.03125","0.03125","0.09375","0.03125","0.15625","0.09375","0.0","0.125","0.03125","0.12198485178086042"
"2168.0","2180.0","0.0","0.0","0.0","0.0","0.0","0.14285714285714285","0.14285714285714285","0.0","0.0","0.0","0.01689291486373918"
"2181.0","2200.0","0.1111111111111111","0.2222222222222222","0.05555555555555555","0.05555555555555555","0.0","0.16666666666666666","0.05555555555555555","0.0","0.0","0.0","0.13845949447574815"
"2201.0","2205.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.21663063720924175"
"2220.0","2235.0","0.18181818181818182","0.0","0.0","0.18181818181818182","0.0","0.18181818181818182","0.0","0.09090909090909091","0.09090909090909091","0.0","0.14175491184817623"
"2236.0","2305.0","0.14035087719298245","0.05263157894736842","0.08771929824561403","0.15789473684210525","0.017543859649122806","0.22807017543859648","0.12280701754385964","0.05263157894736842","0.05263157894736842","0.03508771929824561","0.10270163518496164"
"2306.0","2320.0","0.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.3333333333333333","0.0","0.0","0.16666666666666666","0.03781597337052233"
"2321.0","2323.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0477873200905055"
"2324.0","2348.0","0.16666666666666666","0.0","0.0","0.16666666666666666","0.0","0.25","0.08333333333333333","0.16666666666666666","0.08333333333333333","0.0","0.07261071305909933"
"2349.0","2442.0","0.061224489795918366","0.10204081632653061","0.04081632653061224","0.10204081632653061","0.12244897959183673","0.14285714285714285","0.16326530612244897","0.08163265306122448","0.02040816326530612","0.061224489795918366","0.016323482119568345"
"2443.0","2460.0","0.058823529411764705","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.29411764705882354","0.29411764705882354","0.35294117647058826","0.11764705882352941","0.23529411764705882","0.11764705882352941","0.049981908088739"
"2461.0","2470.0","0.07142857142857142","0.0","0.07142857142857142","0.14285714285714285","0.07142857142857142","0.14285714285714285","0.10714285714285714","0.14285714285714285","0.03571428571428571","0.03571428571428571","0.047042838057511874"
"2471.0","2493.0","0.024390243902439025","0.07317073170731707","0.024390243902439025","0.04878048780487805","0.0975609756097561","0.04878048780487805","0.24390243902439024","0.04878048780487805","0.024390243902439025","0.04878048780487805","0.034843714672880215"
"2494.0","2520.0","0.07407407407407407","0.037037037037037035","0.07407407407407407","0.14814814814814814","0.07407407407407407","0.1111111111111111","0.1111111111111111","0.1111111111111111","0.0","0.037037037037037035","0.013666944284909"
