"Scene Start","Scene End","Anger","Anticipation","Disgust","Fear","Joy","Negative","Positive","Sadness","Surprise","Trust","Audio Level"
"40.0","112.0","0.10666666666666667","0.05333333333333334","0.04","0.10666666666666667","0.08","0.18666666666666668","0.16","0.10666666666666667","0.02666666666666667","0.05333333333333334","medium"
"112.0","129.0","0.08333333333333333","0.16666666666666666","0.08333333333333333","0.08333333333333333","0.0","0.25","0.08333333333333333","0.16666666666666666","0.08333333333333333","0.08333333333333333","medium"
"130.0","148.0","0.0","0.2","0.0","0.06666666666666667","0.13333333333333333","0.13333333333333333","0.13333333333333333","0.0","0.13333333333333333","0.06666666666666667","medium"
"148.0","163.0","0.0","0.0","0.1","0.1","0.0","0.2","0.0","0.0","0.0","0.0","medium"
"164.0","186.0","0.05555555555555555","0.08333333333333333","0.05555555555555555","0.05555555555555555","0.05555555555555555","0.1111111111111111","0.1111111111111111","0.08333333333333333","0.0","0.05555555555555555","medium"
"186.0","660.0","0.08933002481389578","0.03722084367245657","0.07444168734491315","0.11910669975186104","0.04466501240694789","0.1513647642679901","0.0794044665012407","0.04962779156327544","0.02729528535980149","0.04218362282878412","loud"
"661.0","684.0","0.0625","0.0625","0.15625","0.09375","0.125","0.1875","0.15625","0.09375","0.03125","0.09375","silent"
"685.0","751.0","0.0","0.04285714285714286","0.05714285714285714","0.04285714285714286","0.02857142857142857","0.15714285714285714","0.12857142857142856","0.08571428571428572","0.05714285714285714","0.12857142857142856","medium"
"752.0","915.0","0.0546448087431694","0.04918032786885246","0.09289617486338798","0.12021857923497267","0.03278688524590164","0.15846994535519127","0.08196721311475409","0.08743169398907104","0.03278688524590164","0.060109289617486336","medium"
"915.0","991.0","0.07317073170731707","0.0","0.024390243902439025","0.0975609756097561","0.024390243902439025","0.17073170731707318","0.14634146341463414","0.0975609756097561","0.0","0.17073170731707318","medium"
"992.0","1017.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.16666666666666666","silent"
"1018.0","1024.0","0.0","0.09090909090909091","0.0","0.18181818181818182","0.09090909090909091","0.09090909090909091","0.18181818181818182","0.0","0.18181818181818182","0.09090909090909091","silent"
"1025.0","1034.0","0.16666666666666666","0.3333333333333333","0.16666666666666666","0.0","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.0","0.3333333333333333","0.16666666666666666","silent"
"1035.0","1044.0","0.07142857142857142","0.0","0.0","0.07142857142857142","0.0","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.0","0.14285714285714285","silent"
"1045.0","1058.0","0.0","0.2222222222222222","0.0","0.1111111111111111","0.2222222222222222","0.1111111111111111","0.2222222222222222","0.1111111111111111","0.1111111111111111","0.0","silent"
"1059.0","1169.0","0.1328125","0.0546875","0.0859375","0.15625","0.015625","0.1953125","0.078125","0.078125","0.0078125","0.0546875","silent"
"1170.0","1368.0","0.125","0.06818181818181818","0.10795454545454546","0.13636363636363635","0.017045454545454544","0.19318181818181818","0.10227272727272728","0.05113636363636364","0.011363636363636364","0.07954545454545454","silent"
