Scene Start,Scene End,Valence,Arousal,Dominance,mfcc1,mfcc2,mfcc3,mfcc4
40,112,5.50714285714286,4.38416666666667,5.33678571428572,-188.772686706513,150.218567349763,-7.72359806401693,35.3742119944778
112,129,4.97785714285714,4.00214285714286,5.36214285714286,-79.1018625787301,163.183031769744,-42.3728365341692,46.2972083874921
130,148,5.88136363636364,4.73272727272727,5.65409090909091,-80.715531048042,132.803019347373,-19.3717041221689,31.7290095398064
148,163,5.28727272727273,4.05454545454545,5.45363636363636,-76.9288468385987,96.284957216012,-0.709061097941286,23.6391029871695
164,186,5.71485714285714,3.73057142857143,5.70028571428572,-116.257120055264,99.7742352136924,4.92739823375663,39.8718270846193
186,660,5.17449877750611,4.3020782396088,5.23841075794621,-26.2036833702752,95.2569645650987,-1.08309288564838,19.726871480699
661,684,5.65090909090909,3.77272727272727,5.4169696969697,-275.687262444834,63.2893187480537,1.18350377160293,21.5052758999544
685,751,5.44576470588235,4.122,5.404,-391.870388438292,95.4258697659087,-4.75942791840435,21.2976975959147
752,915,5.11447513812155,4.06160220994475,5.27790055248619,-218.914397663422,99.8895395428319,4.24298871681808,21.8860544019065
915,991,5.2725,4.08925,5.334,-156.001268948918,139.851491407281,2.83046396946068,16.8972646892231
992,1017,4.615,3.6775,5.0725,-295.872632370678,202.234116674809,6.21777121037687,45.7381561447496
1018,1024,5.37846153846154,4.16769230769231,5.39846153846154,-43.0357667045712,104.737519639355,5.65405061974452,33.705524834998
1025,1034,5.375,3.95,5.2475,-122.541406101999,132.988363757836,-5.9370902034116,28.3274334833926
1035,1044,4.90642857142857,3.73642857142857,5.235,-113.714381563724,137.504698576308,-8.22588442481891,32.7435974733375
1045,1058,5.32777777777778,4.57333333333333,5.60555555555556,-112.280262928484,92.917212326403,-0.744211246288869,25.6740833730811
1059,1169,5.03686131386861,4.11598540145985,5.30496350364964,-238.966305161358,82.040798454846,-7.03285617325815,23.5133928081887
1170,1368,5.30593406593407,4.12615384615385,5.30076923076923,-382.250323215311,105.751950412667,20.2975785388824,41.7150359358258
1369,1402,5.42763157894737,3.86,5.42368421052632,-347.484092699482,121.04624277978,9.71031749459293,30.3663184170081
1403,1424,5.45754716981132,3.78301886792453,5.51509433962264,-387.567991335816,73.9043840907968,-1.37384220639456,32.3108528452559
1424,1530,5.6053125,3.7384375,5.299375,-406.302959300802,147.872487979131,-4.76381308724044,14.9945362124124
1530,1622,4.92762711864407,4.03728813559322,5.25627118644068,-230.042438724102,112.284711911308,12.0637402530891,28.7027993550437
1623,1647,5.34047169811321,4.16575471698113,5.28245283018868,-244.621904799116,105.381272782277,-2.65890333218467,26.5186884635428
1648,1864,5.34120253164557,4.21126582278481,5.38721518987342,-252.600106376458,122.338595705548,0.678825502030453,30.963254221868
1865,1984,5.52875,4.0565625,5.450625,-320.232284295041,88.4880946327901,6.01137428675862,33.254667571662
1985,1999,5.832,3.764,6.024,-152.311328211819,116.15684277069,2.96768390131548,37.7599501331677
2000,2014,5.23666666666667,3.405,5.55,-157.895035339632,116.748687582755,23.7783574111726,22.4231545194115
2015,2044,6.042,3.886,5.346,-330.058636990794,140.512628129768,0.82507087116318,30.1321809176627
2045,2066,5.73571428571429,3.85952380952381,5.53047619047619,-400.123781925334,148.226309904531,4.69385518878861,46.6663722134688
2067,2101,5.58125,3.835625,5.395,-271.267297319969,105.34141526691,4.43748219172005,27.184868023176
2102,2279,5.33048888888889,4.15333333333333,5.38284444444444,-281.335189575751,88.3165510764169,-2.26001458957754,21.5702906086622
2280,2358,5.185625,4.21260416666667,5.22802083333333,-193.188684114039,106.772847261389,0.453746466082419,25.4851366967214
2360,2365,6.27285714285714,4.38428571428571,5.45857142857143,-295.851394964247,138.484511375622,-7.30371278129819,5.24518010866768
