"Movie","Anger","Anticipation","Disgust","Fear","Joy","Negative","Positive","Sadness","Surprise","Trust","Genre"
"nightmare-on-elm-street-the-final-chapter","0.0713491887086","0.0682373860858","0.0577906201378","0.0946877083796","0.0473438541898","0.159146476995","0.11046899311","0.0853523005112","0.0484552122694","0.0766837074906","Horror"
"nightmare-on-elm-street-the-final-chapter","0.0713491887086","0.0682373860858","0.0577906201378","0.0946877083796","0.0473438541898","0.159146476995","0.11046899311","0.0853523005112","0.0484552122694","0.0766837074906","Mystery"
"nine","0.0460339943343","0.0973796033994","0.0343484419263","0.0662181303116","0.0881728045326","0.134206798867","0.184490084986","0.0686968838527","0.0470963172805","0.0895892351275","Drama"
"nine","0.0460339943343","0.0973796033994","0.0343484419263","0.0662181303116","0.0881728045326","0.134206798867","0.184490084986","0.0686968838527","0.0470963172805","0.0895892351275","Musical"
"nine","0.0460339943343","0.0973796033994","0.0343484419263","0.0662181303116","0.0881728045326","0.134206798867","0.184490084986","0.0686968838527","0.0470963172805","0.0895892351275","Romance"
"ninja-assassin","0.0737376436014","0.0635853593374","0.0454181138124","0.0983168581352","0.0478226021908","0.150948437083","0.129308041678","0.0793481164841","0.04728827144","0.0868287469944","Action"
"ninja-assassin","0.0737376436014","0.0635853593374","0.0454181138124","0.0983168581352","0.0478226021908","0.150948437083","0.129308041678","0.0793481164841","0.04728827144","0.0868287469944","Crime"
"ninja-assassin","0.0737376436014","0.0635853593374","0.0454181138124","0.0983168581352","0.0478226021908","0.150948437083","0.129308041678","0.0793481164841","0.04728827144","0.0868287469944","Drama"
"ninja-assassin","0.0737376436014","0.0635853593374","0.0454181138124","0.0983168581352","0.0478226021908","0.150948437083","0.129308041678","0.0793481164841","0.04728827144","0.0868287469944","Thriller"
"no-country-for-old-men","0.0518970780637","0.0529873528129","0.0281290885303","0.067160924553","0.0305276929786","0.11426079372","0.0924552987353","0.062799825556","0.0246402093328","0.0839511556912","Crime"
"no-country-for-old-men","0.0518970780637","0.0529873528129","0.0281290885303","0.067160924553","0.0305276929786","0.11426079372","0.0924552987353","0.062799825556","0.0246402093328","0.0839511556912","Drama"
"no-country-for-old-men","0.0518970780637","0.0529873528129","0.0281290885303","0.067160924553","0.0305276929786","0.11426079372","0.0924552987353","0.062799825556","0.0246402093328","0.0839511556912","Thriller"
"no-strings-attached","0.061347384268","0.107263831389","0.0549491908167","0.0681219420399","0.115543846443","0.139631162966","0.187053067369","0.0771546857358","0.0504328189688","0.114414753481","Comedy"
"no-strings-attached","0.061347384268","0.107263831389","0.0549491908167","0.0681219420399","0.115543846443","0.139631162966","0.187053067369","0.0771546857358","0.0504328189688","0.114414753481","Romance"
