Time,mfcc1,mfcc2,mfcc3,mfcc4
1.022,-957.597984999311,-105.454088260498,63.0620958731746,-14.3351178264475
2.136,-955.949043969282,-104.926653509534,62.7233755518795,-14.0336033342754
3.251,-593.147914830406,-5.57034792439994,32.8195179480546,16.3165238274657
4.365,-217.492926841442,112.428488277472,3.8407944652753,52.2221690879749
5.48,-260.423991082922,118.637853520977,11.9691776330189,49.9562022295122
6.594,-174.917057763321,89.7496687981756,1.77899224622117,49.37560284064
7.709,-246.940612293559,111.408366409649,5.92044378553483,42.5197373573
8.824,-110.549852362223,74.847389053947,-20.5370561294651,24.6322092773464
9.938,-152.949227060582,71.2334382892495,-27.3281205697805,13.5928137370998
11.053,-151.989776477559,70.2816867403207,-36.1052515109941,11.0627738032658
12.167,-114.377279057327,70.0786850577096,-23.701728278588,17.252132515516
13.282,-113.70574773076,88.5897832444578,-7.94340356476377,46.1023889574294
14.396,-110.529271664716,94.5597342859657,-23.2944765924707,25.4634084187637
15.511,-61.4077156737981,94.7111286147228,-25.8724371411504,24.9129814579078
16.625,-83.8238969215769,95.4811944539637,-21.8868318757618,23.8318532183073
17.74,-77.6568838456582,104.453954212722,-26.5885499374857,30.8016784118369
18.855,-53.9820508354483,85.7679906333714,-26.8775187799426,21.1999413644926
19.969,-29.2047517912573,89.3826244325132,-10.1034412841614,36.1839538502369
21.084,-40.0137505632413,94.1717253312809,-1.39191835835556,41.9032317501223
22.198,-382.964154598251,140.794662490705,1.80893967415243,30.8557391430564
23.313,-569.925925215089,103.205794813996,61.3855777239219,31.7438945046292
24.427,-593.527286529572,91.506244503529,71.1645835889367,46.700283791198
25.542,-592.639433796636,89.5327630076731,73.6405912285891,50.3240206879599
26.656,-555.720573331308,109.843346121905,76.0024736259512,50.0583087436385
27.771,-553.827324133424,111.872222992319,77.6038537991449,50.5983407279546
28.885,-557.930747763721,109.401200696373,77.4914826283687,50.9173240818079
30,-551.9985155713,114.002676439547,77.9959142749942,49.5417150989178
31.115,-555.663159774449,112.477642867674,78.5213759920629,50.2161983959489
32.229,-544.844533192244,116.904207786426,78.2701587341305,49.9312762766951
33.344,-542.573629702314,119.831823822163,78.9961779772973,50.0753581671171
34.458,-539.654064955117,119.599513694337,80.130750189634,52.257863628519
35.573,-526.489734602024,123.242502201815,81.154838045209,51.5070648081902
36.687,-526.653644635803,121.48785588588,78.5365388351982,51.5176241019577
37.802,-529.237575806208,120.773378807545,80.3946520407026,53.3321774016646
38.916,-521.753248011059,127.688222339055,79.2982381655715,51.3149938790214
40.031,-517.537222132217,129.857751790992,77.7092102534327,50.1368923833118
41.146,-527.492236180285,123.192265935031,80.1953313846678,51.526195120199
42.26,-532.486202413146,119.621357316468,78.8883470200219,51.7589779011803
43.375,-530.249374761637,121.817822675866,81.6542902834806,56.2915534850003
44.489,-530.371748887185,120.491389507933,80.0189655846952,52.9979374867809
45.604,-393.135138191958,141.340784142469,54.3034033480148,65.1831287495426
46.718,-27.8308147326226,55.1082254614987,12.9440779577494,37.2313580290023
47.833,-42.1733601071666,85.8680798907272,-6.60985462255871,30.4063404394889
48.947,-164.888116850216,151.494833656154,-28.2858217984149,37.1824732684273
50.062,-295.079464049427,139.584451334196,1.78010913281658,25.2640869935905
51.177,-422.92218008908,75.353009699849,23.6858540166454,49.7785043682655
52.291,-454.206553173323,41.2077366557151,4.83369851787437,40.8589793524729
53.406,-464.356674887046,32.3763096625935,-7.76751571014141,35.1153236261341
54.52,-469.599652914175,28.228268121051,-11.2211338952925,33.0591674414449
55.635,-477.006565545888,29.495994505931,-10.5533538700462,33.3936952082545
56.749,-472.546529451961,39.1754961793686,-2.63091712874636,40.294298240972
57.864,-465.494520235196,50.3358705522636,11.4323126229142,47.2829578811997
58.978,-460.786210879504,60.8980638276648,16.876372317505,52.9650268483457
60.093,-451.212798225409,80.695157041285,26.1673024256328,59.0893303693148
61.207,-429.666199542658,92.5593690460694,27.1336826697823,62.0446799856686
62.322,-405.663714468037,97.424465309937,30.9383892035627,72.3659417580041
63.437,-348.066689356602,112.449845991965,29.1415430896554,68.939038807249
64.551,-230.55003109814,137.693033115015,8.71371263306597,51.1108386206824
65.666,-175.527950346808,159.381190986981,1.62338958723555,40.8282222041621
66.78,-177.71065509711,158.982251396888,23.4947263809411,55.4419708177097
67.895,-70.2178107392447,190.132806326152,-24.3893910848437,56.203980837991
69.009,-220.848808102242,193.192786153948,-5.88557884652052,61.8399908770839
70.124,-327.233518523187,178.448908697192,39.2105729545261,51.0317075802012
71.238,-388.507166032318,138.940206653181,50.7750443171662,69.9548611605127
72.353,-388.296364471417,126.719686147675,44.7514849003597,69.9114041823809
73.468,-336.146480018067,111.230056447413,33.5188570751913,70.9978552349616
74.582,-217.317169080712,132.682809679809,8.68053432218575,37.4373747316783
75.697,-172.498897319598,135.261812823433,5.61182541859317,36.1902970603899
76.811,-159.582067443836,135.785320042248,5.85732565301888,31.7852982540165
77.926,-201.985069100532,138.972018604771,10.0959740397728,41.7106858528385
79.04,-260.076247164828,150.862650458203,17.7378993207718,48.1781451457007
80.155,-336.689905082751,172.529656261383,27.0115559931587,46.24204982381
81.269,-370.247003097381,137.679518901317,41.7907703259865,60.3897670264943
82.384,-270.454983594119,132.347070965988,39.7119636818925,52.000816671988
83.499,-205.183656265928,131.874810515617,18.2421031819854,53.5205469354139
84.613,-238.140190233594,141.889164353507,14.4246629843019,57.3936418784685
85.728,-251.116699913742,148.849418126415,7.857848133458,42.0164778068425
86.842,-241.149713557404,174.761485901562,1.56192269938212,38.5137712718008
87.957,-248.272688923209,154.320894398078,0.143478344783595,36.4917309135214
89.071,-218.849797714664,123.88411409362,11.2266798200438,33.8453725887598
90.186,-144.956442808148,137.958130021695,-6.03675037418157,38.0944222448399
91.3,-33.5573664339327,119.237029650013,-6.16080373960073,38.4212088778537
92.415,-66.2419137032385,126.938867648479,-9.78582801128662,42.9551638662639
93.529,-100.637431171566,108.443379032781,7.37908762538635,51.5952971147294
94.644,-111.277751288934,133.354736956581,-2.9904738021084,42.7432806986538
95.759,-124.945115025517,149.74264512114,-2.11400731201267,42.871603675401
96.873,-119.930898606151,125.227271847643,10.961348836589,54.1137081245657
97.988,-131.220186285036,121.505649726169,19.2215169866621,51.6176990396621
99.102,-168.261978613066,153.243243990847,19.4151846159555,52.9259815833206
100.217,-112.457300644886,125.800344250384,20.1808499424118,53.9770146779374
101.331,-137.249860868763,123.138507522052,35.7855882763543,57.2082682299638
102.446,-114.177097054823,141.967137931967,17.2244008622842,46.8555192638756
103.56,-109.028706161019,133.479939041641,17.3311010655993,43.9682263619756
104.675,-113.268907174088,111.565311710843,37.7497424669929,51.7143086679624
105.79,-96.5348770882489,137.541024770311,21.5109772777012,40.0482953722758
106.904,-102.586518828742,142.750446484436,31.7539254680407,36.8079156706203
108.019,-102.400699947141,108.636753477297,40.8293830889163,48.8169767829105
109.133,-92.7222373490521,127.625312293208,25.5454027357503,35.00443255539
110.248,-93.862954358669,126.069491610096,30.6359097993907,27.8426056446706
111.362,-80.1958245828468,102.247393300327,35.8497376712819,37.207172149067
112.477,-85.0575582394674,114.801329317815,30.9319588557529,32.086548753355
113.591,-78.7608456516513,124.411828641396,28.4915359538518,20.0473930146241
114.706,-64.4172177056092,128.704203228102,19.7697969771244,24.5776297356005
115.821,-67.5183757338443,127.103260994711,21.3459291931016,19.7710795550007
116.935,-88.5200754404854,137.974179223334,14.5660460372877,20.8037159807751
118.05,-69.9961612779071,119.377359409534,16.3589621843191,24.6855351629107
119.164,-79.8718896414647,114.211539867236,18.4059486159472,20.5229564403461
120.279,-63.7806538874149,127.697317096039,13.6487200160265,20.921485764419
121.393,-74.8875508993016,127.894395643308,13.676502783273,18.1765316281975
