Time,mfcc1,mfcc2,mfcc3,mfcc4
1.022,-916.021539026961,-79.4744594229921,51.0973510634624,-19.7863789543906
2.136,-843.587407534754,-59.30535320953,49.9966569210168,-13.8627199645879
3.251,-167.687845619848,40.2075464770663,24.6976233034261,24.4579508396996
4.365,-192.607554234089,66.0079022482753,12.957452553961,20.6681543999379
5.48,-233.607731714076,112.111267899972,-7.48556339639532,19.9140308711942
6.594,-239.595507133095,138.724245736955,-18.2318874327415,26.5191584074014
7.709,-230.812454200038,142.090149651104,-24.4551813978307,26.4206096631507
8.823,-213.326627479078,141.159011756584,-24.1609042728019,28.1073633907892
9.938,-218.509573990048,139.583458718324,-20.4469770658207,32.8996576666651
11.053,-229.522306359206,132.351943232579,-20.8603305849002,31.1805545261739
12.167,-198.341357258414,129.912272531508,-19.8674887586884,31.1981496661325
13.282,-142.507315314916,104.815752863376,4.51239145899236,31.9555181382265
14.396,-158.457683252269,91.2864298720263,0.816526899423409,24.3753412069999
15.511,-168.24610543019,116.170539661502,-18.072701376175,23.5210553742016
16.625,-163.575910775117,121.783415645989,-13.6603571413959,35.4890512093534
17.74,-175.244187817412,123.537591438657,-13.8997756324071,29.4384879075145
18.854,-189.279286228064,126.414603767039,-19.0992797871127,27.231374575813
19.969,-191.07459472144,136.715046068391,-12.5932855722,30.2030963098517
21.083,-189.102148801598,134.192632230278,-17.7906509738862,27.3777369707459
22.198,-313.658663581755,152.662949792919,-24.2660636161221,13.7475215798499
23.313,-567.168309129789,147.318939633634,47.0760270072568,3.3875558871952
24.427,-632.164909373906,159.346754300581,107.537387657728,16.1015172217279
25.542,-590.876447844212,166.382331908418,87.8783341149571,16.010397648868
26.656,-529.422973175642,180.597246813403,59.1539848212342,11.7189570930757
27.771,-468.059362781461,199.942710769966,37.2368026717151,5.21656099847219
28.885,-474.190149337476,193.873515549808,37.1605721828543,4.51340209709392
30,-476.564367099593,189.008467769069,38.7422142061227,6.29148613219889
31.114,-477.234780876706,194.844771255122,41.2461750141526,4.41119718173079
32.229,-416.518640724425,199.837751390088,36.9419457001654,16.8131506653906
33.344,-455.817717402034,179.892823686039,42.1657879831763,24.6170264076069
34.458,-465.111831029733,172.995230840166,23.231431269008,7.77218829494497
35.573,-541.18890377343,171.408609523388,52.3401822620647,1.21283374078075
36.687,-579.626924893552,170.087139016988,77.5528361929525,4.80848544885505
37.802,-599.565749854217,157.552718879723,96.961482138082,24.4715988471833
38.916,-596.621651506713,161.044763473362,94.0854892791152,27.5346435755644
40.031,-510.586942954048,169.223630996515,45.3608980130957,20.6335827489152
41.145,-412.441039169998,154.942897005592,15.1692929917118,28.1556377969186
42.26,-378.251852735501,131.820364583606,27.9543129418184,27.0364959775813
43.374,-403.684101273378,133.616463381746,24.7991867510621,33.9233861276451
44.489,-521.503760275554,169.524123709731,43.2107565994736,18.7107101104839
45.604,-566.362059513318,173.390398665853,79.8805594054092,25.9638745503656
46.718,-488.556030285443,138.998164441039,64.2766439486327,51.2821612778786
47.833,-493.878919525067,148.395221139091,59.3113001549243,66.621224883975
48.947,-507.395967493649,152.66299938654,80.3821142890534,53.6566130921027
50.062,-473.809793932921,130.043000106967,56.7494233935168,65.4688735044635
51.176,-498.177299205355,129.576727467931,72.0906567319459,74.7051039422924
52.291,-506.854642023622,145.642075647293,76.9510970850373,44.530306258896
53.405,-446.250846882467,128.945562024455,45.6592232270282,50.1336145217671
54.52,-444.713196126184,149.66325465996,48.4057661161802,54.646939647006
55.634,-452.734749228362,165.905546367771,68.9027176426156,38.1284141550067
56.749,-405.053000601303,203.885464504318,68.2970825086245,19.5435483800893
57.864,-414.805437559157,212.389164994992,83.1753903343341,10.7635449772717
58.978,-358.575334139564,175.484557926422,76.5463709540608,38.5313589246865
60.093,-364.066924239828,139.343864000777,63.1561071410114,61.7690301978673
61.207,-222.626798810517,125.770305343586,24.3661939943056,48.3364877683209
62.322,-381.237564399756,193.601086168741,52.6877807535533,20.0914203638737
63.436,-288.081110184671,128.186598944262,38.4860429306147,56.9855566668305
64.551,-337.289174267226,161.437905240878,60.3090590684635,42.5218335456088
65.665,-268.589668851844,125.86317093323,55.6693409639026,54.0155340388245
66.78,-325.345545641465,168.698878966586,59.3650765040322,48.282325799678
67.894,-241.11322544894,148.66686476767,52.6044086766725,53.4992966414118
69.009,-231.141257938042,133.878675732111,47.4664429464051,55.2878843709297
70.124,-272.94945378199,162.754524434105,42.0783060403986,43.6426678306518
71.238,-300.350667303288,175.517541285486,59.6083865143309,48.6537291811292
72.353,-241.883460769423,148.69929645136,25.973518201268,59.4707068236398
73.467,-238.685291377698,115.189430017593,36.0310099034018,59.6396479341167
74.582,-350.101907887627,186.581415708168,51.0037910805129,32.8004165276159
75.696,-218.482913921884,118.1444807233,25.6806663770815,47.4459495701138
76.811,-218.497017428266,111.672279335087,30.4537360009545,48.6543406890808
77.925,-357.362097782155,207.050401817598,30.9919729925599,25.1630571613487
79.04,-257.479643397315,136.410696083096,34.5307916466802,36.4146518112013
80.154,-251.387387233417,151.776150228814,35.1686344994251,34.5733663105635
81.269,-203.455254261844,139.129745804042,16.3690412483313,52.8333066653008
82.384,-183.415949648853,101.997522429065,18.5917435162201,43.4485032068073
83.498,-206.46286649308,136.024674445217,12.6307419974706,50.9446614499285
84.613,-188.259101819309,124.163078897792,16.70725205135,47.8614686447502
85.727,-195.273069344621,132.296626244243,4.72519037954794,27.6721307191741
86.842,-288.510968531806,195.130534074259,-2.46822671649128,30.127907076311
87.956,-183.673533073816,133.015167228191,2.91074952251124,34.6007757268545
89.071,-209.019228805496,154.081247098457,-1.98671166974269,37.32405389789
90.185,-188.649661225141,151.164081933193,5.02422536820292,29.8556682156938
91.3,-184.237069600561,119.398674843914,17.8802895226411,34.5741724600469
92.414,-236.760282804076,165.499116001577,13.2690684716338,35.4869538428958
93.529,-160.293563378188,102.757536658264,14.4994266127949,40.0717752826731
94.644,-199.090883459511,128.536268533609,17.8407806271164,38.0896790758525
95.758,-165.309082261254,129.528213294747,16.0046986376019,27.2518416878065
96.873,-167.263457914424,125.395105118339,19.2308490926416,31.375366050852
97.987,-189.998557621643,113.225454749503,15.3553838152396,31.3136497524096
99.102,-175.937859396967,87.0239553474963,20.8443275331268,27.9427699262402
100.216,-180.912675466343,103.551433283095,15.777701088205,33.2142902117659
101.331,-165.346003207046,106.45813329745,13.1574388577705,44.9750189695981
102.445,-185.709172916714,99.1170930574046,12.0749491506028,29.3461042573595
103.56,-155.446908416932,97.0488442975673,5.22685471999468,29.9237631611247
104.674,-169.208394962609,92.8764922232238,1.92145449193821,23.5220775838502
105.789,-160.266311726579,67.427833604115,13.0783706867482,19.3048917118405
106.904,-141.196280003001,52.660080710158,10.678464995496,20.5322409889737
108.018,-104.490943576559,76.4661299110118,8.42974670108683,22.3464098662481
109.133,-124.180168255762,63.0452738125315,16.0235254580469,25.5317311292566
110.247,-90.13075554114,68.4911262896055,5.76718794148662,23.1808647636355
111.362,-62.781340390167,88.836726105609,-3.86431350724362,21.3245394475291
112.476,-74.0703648674949,96.6383292223817,-8.22818907820671,18.5210280876664
113.591,-75.1283666671726,103.026000044756,9.45868939444643,31.2622433117539
114.705,-73.4745655030211,111.559684325256,8.3851033333215,33.3009079715509
115.82,-53.62863190365,104.802713910822,0.278338786469598,27.5414398319134
116.934,-20.2528269565359,116.078960608139,-6.51280924452776,28.7450454840198
118.049,-82.7240033208431,112.769755918839,7.41218573278565,23.4094655699964
119.164,-91.2350043511706,93.0145152196038,21.9509614330576,22.9193212508489
120.278,-103.022969920756,91.6486331184361,33.3345663072804,15.6033416374122
121.393,-108.253203818325,67.9989017901507,38.9789450696311,8.36549427416171
122.507,-108.404902089038,65.750410193562,31.9781699112916,7.42982852990962
123.622,-96.8305210444263,59.9562696247986,27.3811750506055,21.9607106412235
124.736,-103.545594993083,65.0279466387904,31.0986355722997,17.4045361623152
125.851,-156.981402122007,65.1342294667615,25.8085319920697,22.9873689047901
126.965,-146.08559101416,61.592177414296,20.9413558157312,19.3399186024338
128.08,-108.849149536733,82.2059487025353,18.6295708091305,26.9446887226727
129.194,-113.171834898788,103.223106476669,16.7083859049853,19.4501039429028
130.309,-103.638872158744,83.5521486925173,33.5446036330613,22.404645703089
131.424,-121.62687952853,87.9827653704655,27.5849538061325,18.3360974101639
132.538,-162.780248712585,53.266264722851,12.4199361571276,19.6394617201925
133.653,-132.477885237722,73.4305960654325,13.4240542556224,27.457765215937
134.767,-126.792620714635,53.2949186665959,10.4632878647868,31.7507038390331
135.882,-141.437366038858,65.8370305515144,24.4289687462265,17.8357339542826
136.996,-108.341002743731,91.4133418754848,25.0401620833425,12.0606283009454
138.111,-137.711344089934,82.9257818267776,32.3739660719317,24.8474946600522
139.225,-137.238898510254,84.4461207410204,30.2663371004795,28.1966438923505
140.34,-118.248052524304,80.3969495967228,29.6400483791573,28.5463397439968
141.454,-130.072197317711,72.4619540892394,23.4689277743908,24.2299068429114
142.569,-142.971415994417,84.0458394371642,9.54308447269341,37.8482249109464
143.684,-154.907141027857,88.947357416277,7.08332985663252,20.1856145861349
144.798,-137.981317353365,84.4723050603357,-4.93589299054534,20.7878303775947
145.913,-45.3228230789292,119.956822382592,-18.1097777099473,23.272333608352
147.027,-73.2172703027895,127.802747731666,8.79257901545262,11.3011661897301
148.142,-124.473807376561,102.945785038379,19.8194833819962,21.5515845316477
149.256,-86.5675136801203,113.956537522422,13.850472694542,25.2919464532072
150.371,-104.083588640898,123.532788226349,16.7127005056211,3.63096288376144
151.485,-119.466811445919,121.053960918446,10.8754561876466,14.3666809625497
152.6,-135.592410931739,125.338839346165,10.7178148329037,19.176067168391
153.714,-95.8297295681434,120.447673498496,-0.788395821954529,23.5419040276898
154.829,-66.5117750536973,125.16099550826,9.48561671879378,16.5934260076943
155.944,-55.5738166365947,112.465379554354,12.2860623967875,9.96045722280094
157.058,-97.959819472033,109.030178003011,10.7936778399095,7.70581255563688
158.173,-109.301729717667,114.353597045912,16.4009520596674,10.7870934394253
159.287,-113.549507393893,110.946511379284,23.423301929733,16.038446185926
160.402,-105.019138598872,101.892310005482,6.16352893053487,19.0687452485419
161.516,-115.403104258947,91.5766248851781,4.31384830508225,23.8499484516132
162.631,-117.313290918959,100.724638539466,11.1651054501136,13.4421063953499
163.745,-131.147865570506,79.4877227265053,6.25884619250841,6.17706758176223
164.86,-135.145440135298,85.8484829908395,12.2171664125462,11.0784912870989
165.975,-143.233666341837,84.6618286366159,9.20386869714888,12.9977402026319
167.089,-139.720652968256,60.5107909288464,21.8531237005214,17.1693574961749
168.204,-156.571565175725,83.3973096277833,23.6205191630729,21.851298286186
169.318,-142.052996855928,81.1545701697525,21.3574770384504,17.7783127365145
170.433,-116.495114716413,62.6934908272563,7.70169467249212,10.2941547706911
171.547,-108.312881567251,86.8927548191177,2.72504800630996,18.8842844058584
172.662,-185.099374163489,93.0465434716073,11.1269979801038,13.3599327608043
173.776,-170.454901983526,86.5680461860293,5.46519864684648,12.4754966517691
174.891,-171.177156171202,91.5996577129484,3.8393605129582,11.8705918331586
176.005,-164.860483323124,89.3801801289671,-1.7487366226728,5.55680877046049
177.12,-157.99713630624,96.5965881305001,4.05975654106159,2.59949322082083
178.235,-141.007909744198,71.4205294220697,-1.0501951229115,17.4469951523015
179.349,-102.864592738635,70.8373217088405,1.94586267275337,26.8387200419768
180.464,-81.1682886654462,77.7260872924584,-1.43339355522953,23.4354129039872
181.578,-102.623893295186,77.2771915904696,-2.32536708941759,22.8630996337102
182.693,-124.917691465361,68.890556959812,-4.75545943678621,21.7369051438906
183.807,-117.096957669868,65.0001324532958,-28.6429359413528,11.0571600597015
184.922,-142.31400827202,81.0831777166097,-10.972968871479,23.3740670365723
186.036,-151.025990905517,74.4591355448512,-1.58828172689711,28.1687932275676
187.151,-143.750620784137,71.7728458774972,-2.93506624896236,26.7801370106503
188.265,-136.291808840907,65.7931678120553,-6.2221910730316,23.4336505911638
189.38,-140.87562708644,61.0482033986169,-11.889089306835,21.4486653003382
190.495,-151.784828938952,57.2537857505728,-5.36460308050298,31.9500197151937
191.609,-143.779046071665,80.3415314454753,14.5587884141015,54.3758791538464
192.724,-73.0748902485768,115.102675017741,1.54598203995495,27.4661253748206
193.838,-74.5223967167816,119.383023447613,-15.1688225558218,17.44240708028
194.953,-67.6003206673276,115.033039736069,-8.27151952170959,19.3003333714361
196.067,-68.7731369947663,118.596457798047,-13.6262860467591,17.8189946138707
197.182,-85.040496063251,121.263565469407,-10.8463236518537,24.2448446103138
198.296,-63.8583529493032,113.559506653322,-14.3369892110789,24.838143291826
199.411,-96.8600813375662,125.645241342646,-6.87929024193192,26.6725737520339
200.525,-157.846532196394,117.035081592501,-7.54109839734452,18.0338964595347
201.64,-151.797639041252,109.063431905692,-8.64036843797714,26.7493356719598
202.755,-185.175899457307,98.8821461643702,3.8099819769797,22.5246501462325
203.869,-195.393614356315,102.602841832807,12.108220681337,24.4633082591268
204.984,-153.042881331218,117.519066070524,7.40127967503405,18.6131577539001
206.098,-111.611351088813,117.665104117852,4.92303476673095,24.439328438548
207.213,-157.170331205772,119.612634709774,9.60419617604006,23.1263432455395
208.327,-140.315142757325,126.206897523849,5.06346317794294,23.0696745985561
209.442,-133.838401689502,123.477086376611,0.033738078611646,24.6730265003352
210.556,-153.05265630402,119.926468864175,5.85771460262053,18.2586815406194
211.671,-132.35337720364,101.438817301966,8.89991133024234,27.226568065867
212.785,-127.492794206133,114.561871586057,5.16539336314176,25.4713598620351
213.9,-129.800996765671,119.55634298628,7.74981352991599,23.7982532858143
215.015,-186.841052605481,128.322888750843,18.1279045346074,23.3332936698003
216.129,-184.253872363057,113.0987280192,7.63276050286418,15.2810498996482
217.244,-183.545757626458,91.0899506925792,-0.122452731896357,27.1924033308673
218.358,-137.795257371975,100.798974333396,-3.2634273626186,24.3678398393372
219.473,-171.761960864054,108.109965703216,2.37470413931313,12.6053194759591
220.587,-194.905717858831,93.982155625824,13.4302052870333,13.4344391660924
221.702,-224.675906676806,95.4742302656645,30.7021610305698,14.3741478828635
222.816,-162.653640453769,80.9939896848453,9.68648290743841,19.1152518709964
223.931,-143.54072939098,101.139165314668,3.35109278161276,24.9711443113944
225.045,-137.935585303362,101.401315446999,3.23877953036306,18.2517689497227
226.16,-169.801090806696,104.756132094578,1.59282912884876,13.3776088799653
227.275,-194.56560920823,96.0242702541746,7.16412149248605,14.7882533167306
228.389,-153.425403807132,75.6106983472333,14.0563607646828,28.1200297150682
229.504,-139.950558332045,75.5770463825582,10.8823669871361,19.9568086666721
230.618,-181.058910571302,99.9572766979602,11.9332139095858,12.9577832087391
