Time,Spectral Centroid
1.022,8847.70259438264
2.136,1964.04743671002
3.251,339.054497342152
4.365,225.638756029766
5.48,207.386176697166
6.594,193.297749553931
7.709,208.13117380685
8.824,229.595143356961
9.938,228.943843160272
11.053,229.886519831959
12.167,231.544831152616
13.282,210.879672044043
14.396,222.362121825154
15.511,224.421834384126
16.625,247.090362119588
17.74,237.414066393345
18.855,244.978669320199
19.969,261.54835304087
21.084,242.267902854104
22.198,262.840779040024
23.313,275.254332587574
24.427,281.087965625749
25.542,285.821553376867
26.656,282.631787200459
27.771,314.183168482757
28.886,319.153918310231
30,316.079402265848
31.115,395.672813285313
32.229,359.954382224096
33.344,376.574652517568
34.458,419.20686164178
35.573,416.990810860205
36.687,399.185860285502
37.802,398.164562727567
38.917,362.006081864068
40.031,357.676461882053
41.146,372.265912663508
42.26,464.629429179852
43.375,479.910255451575
44.489,550.887340390513
45.604,575.396182721492
46.718,624.411181468662
47.833,687.179700171532
48.948,912.0264231432
50.062,1580.4742102427
51.177,1165.86501364054
52.291,1078.353979298
53.406,1034.06764956857
54.52,1109.47182054688
55.635,1163.70162963597
56.749,958.404291620315
57.864,896.807502470349
58.979,1091.29674838842
60.093,1061.6482723489
61.208,1307.58650530366
62.322,1030.26916558766
63.437,1363.78035474208
64.551,1565.87960861376
65.666,1357.99930906612
66.78,1473.72334357485
67.895,1477.72161643972
69.009,1349.37724062164
70.124,1549.82319383886
71.239,1432.75834534732
72.353,1593.79015059075
73.468,1141.10201447329
74.582,1109.47717381126
75.697,1277.62865041696
76.811,1105.9625906833
77.926,1672.10091663977
79.04,1779.00326473319
80.155,1230.13852404464
81.27,1226.13032192521
82.384,1387.21930818102
83.499,1406.97450824485
84.613,1641.02124091792
85.728,1212.36718504304
86.842,1250.83028106459
87.957,1096.00570800984
89.071,2010.23799266966
90.186,3466.68256093694
91.301,3386.90575238413
92.415,2882.27219891761
93.53,1814.78778725498
94.644,905.605715199717
95.759,1063.33761932079
96.873,1187.11561916226
97.988,786.480309709812
99.102,686.075589056111
100.217,790.702825475341
101.332,818.31616237064
102.446,779.756810419924
103.561,747.624646619746
104.675,671.674681082112
105.79,1013.79941937817
106.904,904.777874412096
108.019,1469.58805614375
109.133,1075.72834401219
110.248,866.41718500273
111.363,760.802930187901
112.477,840.315614608225
113.592,914.872949778117
114.706,1051.0454444597
115.821,1154.06208643532
116.935,1291.04170371405
118.05,1233.53434678846
119.164,1225.7057016489
120.279,1301.02907987364
121.394,1228.51872738443
122.508,1062.42346765293
123.623,1219.83930028438
124.737,1236.19762337779
125.852,1266.0358348768
126.966,1211.2816253709
128.081,1480.75784375086
129.195,1510.55317440882
130.31,1461.11239233232
131.425,1336.73368437505
132.539,1732.84664196892
133.654,1816.79392553696
134.768,1981.60948516116
135.883,1736.5569338182
136.997,1613.36018469899
138.112,1775.25374371827
139.226,1454.72864773431
140.341,1413.49430719265
141.456,1256.42636529772
142.57,1887.66039285607
143.685,1403.57601095515
144.799,1610.42092829187
145.914,1597.01752053669
147.028,1770.19423095057
148.143,1995.04318165842
149.257,3068.08710508847
150.372,3682.97032683447
151.487,3054.47448323038
152.601,2680.46303011878
153.716,2577.14902857395
154.83,1870.05694623276
155.945,1744.44376451189
157.059,1943.5355104315
158.174,1579.49051119117
159.288,1814.09876204945
160.403,2119.4526367311
161.518,1912.62656671293
162.632,1914.21839162562
163.747,1916.59784647112
164.861,1697.76155846123
165.976,1745.37777959683
167.09,2150.91488609702
168.205,1887.00290931408
169.319,1546.31700270979
170.434,1418.31837938991
171.549,1743.21855643574
172.663,1471.53993665867
173.778,2161.29432247594
174.892,2675.61772882703
176.007,1926.22884925294
177.121,1424.949569257
178.236,1922.70476167488
179.35,2276.25532416242
180.465,2418.17475329041
181.579,2471.92451848308
182.694,2272.95673250539
183.809,2628.37893551274
184.923,2757.40188115411
186.038,1508.29454842032
187.152,1151.1611491808
188.267,1246.20162264577
189.381,1216.73351193536
190.496,1236.49418853782
191.61,1177.85726626283
192.725,1193.66640974248
193.84,1153.02917932253
194.954,1230.67042092051
196.069,1197.84940959749
197.183,2543.03582485211
198.298,1811.82302578336
199.412,1824.01178620933
200.527,1721.76278169728
201.641,1911.3544774081
202.756,1874.96231670779
203.871,1668.60910334083
204.985,1830.11559235487
206.1,1850.68483549071
207.214,1725.84003406548
208.329,1797.33231412376
209.443,1656.20956112872
210.558,1866.00119296535
211.672,1847.41784559279
212.787,1655.03719544771
213.902,2152.55334900309
215.016,2502.51256648112
216.131,2209.82545470608
217.245,2692.40722311552
218.36,2542.29413567016
219.474,2443.72812762897
220.589,2387.1683548331
221.703,2431.24685825966
222.818,2576.03865123307
223.933,2523.96075332409
225.047,2300.97897609731
226.162,2509.23930923235
227.276,2425.03794776746
228.391,2242.19525791436
229.505,2377.90847687065
230.62,2380.19005171881
231.734,2394.92560099405
232.849,2390.70962605432
233.964,2300.30916778085
235.078,2441.60986978234
236.193,2497.42480553631
237.307,2184.60876800285
238.422,2571.67235896837
239.536,2564.93291559307
240.651,2453.31002199973
241.765,2427.15675027637
242.88,2326.62201700946
243.995,2480.44471887075
245.109,2381.18779961579
246.224,2401.15491567249
247.338,2519.10600215272
248.453,2435.35887507153
249.567,2330.01737822592
250.682,2559.99627750774
