Time,Spectral Centroid
1.022,8749.93124682431
2.136,1045.81483089991
3.251,1048.2231692509
4.365,1575.7386428185
5.48,1167.09218238565
6.594,2260.29245736682
7.709,2126.58427248481
8.824,2186.25434476017
9.938,2089.63959813921
11.053,2116.47307101154
12.167,2283.74756099914
13.282,2044.66278823309
14.396,2141.72347614946
15.511,1725.06111754989
16.625,2126.94610746923
17.74,1937.87120824454
18.855,1814.18751764707
19.969,1213.80956642192
21.084,5045.61137352532
22.198,7007.58564124415
23.313,7281.70344285537
24.427,7977.05937426279
25.542,7964.03465716034
26.656,7978.40563207657
27.771,7935.86245163679
28.886,5950.8944698206
30,2708.11324006591
31.115,2236.81431236439
32.229,2492.8914650088
33.344,2443.76233807824
34.458,2380.20451854112
35.573,2196.58152976132
36.687,2422.69035183886
37.802,2611.88498248658
38.917,2277.67582026506
40.031,2701.50849582787
41.146,2349.53685952843
42.26,2783.54474109865
43.375,2292.19094042892
44.489,2592.52998236578
45.604,1963.31030326068
46.718,2492.39513036198
47.833,2619.76675609643
48.948,2361.12188783257
50.062,2684.1761595118
51.177,2365.12063932299
52.291,2565.25238831981
53.406,2300.88934515398
54.52,2417.93444110817
55.635,2206.57689473089
56.749,1774.04357602041
57.864,2065.20816318108
58.979,1955.45136668178
60.093,1603.94585969315
61.208,1786.84749878466
62.322,2074.3004082688
63.437,1926.18865594113
64.551,1627.34827714584
65.666,1786.10991716976
66.78,2072.77761396301
67.895,2276.11427611024
69.01,2176.88166223752
70.124,2382.14696742608
71.239,2379.84451205333
72.353,2601.94253600299
73.468,2085.56088839624
74.582,1953.2755054196
75.697,2190.93626397167
76.811,1785.44763923977
77.926,2782.1542774829
79.041,1952.6988092532
80.155,1690.3854617712
81.27,1685.67440256591
82.384,1618.84402971105
83.499,1760.20775244508
84.613,1661.12192287347
85.728,1795.35219779033
86.843,1529.12296300716
87.957,1717.13172444773
89.072,1713.95282643441
90.186,1950.6887390547
91.301,1790.11824537439
92.415,1909.47753334011
93.53,1697.43453741169
94.644,2270.39881145995
95.759,2675.79817283482
96.874,2495.38433409824
97.988,2176.12774723805
99.103,1392.7713818844
100.217,1074.0711759896
101.332,1355.57472555677
102.446,1664.99382241543
103.561,1782.89123002647
104.675,2074.44828118181
105.79,1888.95753079722
106.905,1911.22168930684
108.019,1954.09841429953
109.134,2039.63264584255
110.248,1935.9716575619
111.363,1909.1262576525
112.477,1639.46947001441
113.592,1579.10826699789
114.706,1715.77554574896
115.821,1702.76958579629
116.936,1477.43182144125
118.05,1632.02995572729
119.165,1412.88601810171
120.279,1233.26422970979
121.394,1215.61531202694
122.508,1396.64171312813
123.623,1749.3581692147
124.737,1781.32868252668
125.852,1621.11506188287
126.967,1264.83967374662
128.081,2725.5718687447
129.196,2315.81650957956
130.31,2089.78755105101
131.425,1910.96245706619
132.539,1536.8700934118
133.654,1330.22839866414
134.768,1342.93666987327
135.883,1379.03950175131
136.998,1278.02543752352
138.112,1637.79183552779
139.227,1790.65217074182
140.341,1681.03674307954
141.456,1558.21199730024
142.57,1366.66869769721
143.685,1493.2121489303
144.799,1301.70516163838
145.914,937.605865284176
147.029,749.714047357272
148.143,2211.57395430758
149.258,1757.91624417091
150.372,2059.78431424152
151.487,2117.67670018265
152.601,1714.68359941034
153.716,1663.47168964263
154.83,1776.00580636182
155.945,1050.12820358058
157.06,821.050776802952
158.174,1174.14039862699
159.289,978.412008229413
160.403,786.853011475507
161.518,1048.81155579933
162.632,1087.56959232815
163.747,1297.31178807398
164.861,952.936579720654
165.976,963.709812569598
167.091,1051.57573270077
168.205,937.116748967293
169.32,1068.71891959474
170.434,1518.30813161194
171.549,1565.90160184021
172.663,1474.42138292504
173.778,1688.1830122195
174.892,1698.11058287376
176.007,1304.78100067385
177.122,1576.20092139307
178.236,1465.66263615553
179.351,1065.8201183171
180.465,1485.90352647973
181.58,1503.47418271882
182.694,1048.16146484419
183.809,1122.42692696438
184.923,1394.39704493559
186.038,1359.70397432315
187.153,1674.78848378679
188.267,1685.11922982436
189.382,1679.91339253842
190.496,1584.30310129048
191.611,1904.28460464114
192.725,924.540483500019
193.84,1240.74970214127
194.954,1067.05070385504
196.069,964.974661907888
197.184,1325.50653316911
198.298,1255.95354491767
199.413,2018.67210480605
200.527,1503.14670889275
201.642,1600.73904999645
202.756,1629.33596123779
203.871,1626.78643417581
204.985,1831.02513640512
206.1,2251.38954608668
207.215,1236.12202535375
208.329,875.886257310465
209.444,700.454338298043
210.558,714.186658612565
211.673,965.97345662367
212.787,991.722600087326
213.902,1041.24340537311
215.016,961.718039548358
216.131,933.152195306682
217.246,686.42141345519
218.36,564.349491766408
219.475,986.163604863401
220.589,2758.63207507217
221.704,2759.8276846186
222.818,1917.19682155266
223.933,1947.55481527914
225.047,1911.21514182062
226.162,1227.77253064677
227.277,1241.32175711473
228.391,1497.7879433238
229.506,1617.03099583903
230.62,1840.94104764982
231.735,1749.07671132304
232.849,1674.17813680143
233.964,1649.61910537759
235.078,1641.70041685333
236.193,1755.390145024
237.308,1570.45826972174
238.422,1748.13463189828
239.537,1790.98848388603
240.651,1946.82545461787
241.766,1678.84798882504
242.88,1703.72555932033
243.995,1738.96141564959
245.109,1583.11499047984
246.224,1626.84851055248
247.339,1459.09193581369
248.453,1502.44145468238
249.568,1465.4854160756
250.682,1902.3721642868
251.797,1852.67858025531
252.911,1907.39107227182
254.026,1237.94322525859
255.14,1278.06103292641
256.255,1384.08531492917
257.37,1592.84286231117
258.484,1674.03979410345
259.599,1716.01400265817
260.713,1609.92863476225
261.828,1622.25943623505
262.942,1725.31289184649
264.057,1927.96108594153
265.172,1773.13924846256
266.286,1663.03303173409
267.401,1763.24802061898
268.515,1625.94451743616
269.63,1521.20858605606
270.744,1562.21101231779
271.859,1603.1652640767
272.973,2498.5899367473
274.088,1942.80811052076
275.203,1531.74145792055
276.317,1892.13562807125
277.432,2236.27062120555
278.546,2225.00862356289
279.661,1251.7292522419
280.775,852.953942129946
281.89,1352.15651694541
283.004,754.668330853266
284.119,1768.31023458043
285.234,1301.45214952308
286.348,1157.67243643479
287.463,1802.73101700831
288.577,801.668141056539
289.692,1388.97193875058
290.806,1736.87611784259
291.921,1471.6998152809
293.035,1754.19426193728
294.15,2447.71650967625
295.265,1836.99966869419
296.379,1665.87422172099
297.494,1325.67543978154
298.608,1839.7905944496
299.723,1321.8877814951
300.837,1144.15008382447
301.952,1210.34464252187
303.066,1149.90318235476
304.181,1447.41263231887
305.296,1381.99428269687
306.41,1359.62233340483
307.525,1530.89064082075
308.639,1508.76055143379
309.754,1568.57115779259
310.868,1453.90658752374
311.983,1600.60980182352
313.097,1331.89251207775
314.212,1353.29946683099
315.327,1431.80710948253
316.441,1374.15038273325
317.556,1819.227718709
318.67,1648.64268606884
319.785,1829.12941188968
320.899,1650.34073374193
322.014,1645.52737853955
323.128,2349.19798415843
324.243,2229.76229920558
325.358,1571.55177058207
326.472,1514.17596550545
