Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
10,147,5.73683333333333,4.00816666666667,5.51366666666667,0.032734447588579,1659.40518303605,-278.206465361856,126.332529802197,4.84549019173995,21.187051018434
148,287,5.70778350515464,3.88907216494845,5.51164948453608,0.029380674008539,2428.34289138193,-254.793614087071,91.7576191944449,-0.122633803302566,22.5416989526504
288,347,5.54447916666667,3.94364583333333,5.43427083333333,0.095772443903379,2188.11438905299,-134.851672251753,103.773156910348,-14.162758173062,19.7106960781342
348,382,5.4764,4.1096,5.408,0.154429635211046,2265.94979416096,-37.2997811068293,99.61983878816,-7.89306595696469,18.3163800578785
383,420,5.16536231884058,4.23231884057971,5.3804347826087,0.129654365938317,2950.74544896687,-52.3745727585113,78.774792335779,-6.13733960409081,7.59311701546319
420,430,5.20166666666667,4.4375,5.18916666666667,0.108719242121548,2332.53510705581,-68.7764491822238,97.917433483855,-10.9121988364921,12.2271835257474
431,437,5.28142857142857,4.00142857142857,5.54428571428571,0.098228012087391,2236.50134255129,-80.2564691079287,101.621556022025,-8.88722703473139,16.9321989649369
438,440,5.41428571428571,3.97714285714286,5.00714285714286,0.087350332641432,3820.93297742792,-68.1991302606445,54.2431251049174,6.89095859758331,7.58406415514151
441,460,5.19735294117647,4.29352941176471,5.47617647058824,0.180056902979056,2283.7844729769,-33.6144706151579,101.184703565643,-8.9718107614774,10.33901300473
461,464,4.895,4.456,5.309,0.129747757709774,2227.81130881475,-49.579633973137,101.634811413544,-13.6118857950331,21.2647393201652
465,490,5.74857142857143,3.79178571428571,5.65535714285714,0.104599456513983,2274.72405551226,-89.1981811890436,100.940610968035,-8.69233997352169,16.1727417007026
491,527,5.46655737704918,4.21786885245902,5.2883606557377,0.142169717128998,1874.06849342787,-82.8960192589086,118.483985826697,-12.047847310535,16.6278581156794
528,557,5.4675,4.18642857142857,5.22625,0.102375806095003,2794.89260468918,-86.5117464854518,79.1352398282822,-10.5336173862472,12.8211861940404
558,597,5.65518518518518,3.92481481481481,5.17259259259259,0.10838295865766,1958.68452107282,-114.348428273265,113.012353096259,-9.19157468494888,19.9419390302221
598,608,6.325,3.53,5.665,0.057180290099861,1896.69717269109,-184.720021333071,119.820792310012,-24.9729030540675,16.7799814621026
609,613,6.01111111111111,3.80777777777778,5.40333333333333,0.053889508766932,2055.65513137737,-184.830005210469,109.620291964796,-18.6630395262886,18.0723003930113
