Time,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
1.022,0.0345472044768,502.405936593996,-517.161348372351,192.702807830603,85.5702929535628,29.6467100991655
2.136,0.041362064509735,351.978920389797,-453.89437308628,213.237042048749,60.815050809821,21.0702533238459
3.251,0.046109259960295,331.150203776657,-449.108054147841,210.063335428446,58.9546993539818,28.3227062584896
4.365,0.069822961446184,407.955795511807,-369.193399648123,221.460209852486,27.0529921425108,23.0982004890004
5.48,0.11262868635501,436.133510871055,-284.913031222765,252.886893389758,6.77357158887908,18.871083360207
6.594,0.07753174468997,499.157923702473,-300.100301939151,215.786647542845,13.9480549220957,36.0486770974382
7.709,0.05263633497495,650.60549687102,-302.128071136159,181.945991119951,15.865030539207,47.5206654483077
8.824,0.037421469950139,804.77846878735,-309.634711379532,171.242659900139,1.87467230456285,47.0180684909607
9.938,0.052605744145475,793.220194993834,-292.528547607822,183.174167605003,-2.67549084036125,36.5222682808715
11.053,0.083033654142428,1186.54392761787,-207.829039578838,165.783135940337,-23.7523038241973,39.7547243998934
12.167,0.124129796165139,1299.55561927588,-144.257440407135,152.44321973423,-28.5559534461954,51.4090422318014
13.282,0.069991765406232,1600.59429937214,-237.086696748698,118.577928605053,-48.9445421846112,49.4046044555277
14.396,0.067575817526339,1798.01186732266,-300.653352211566,80.1729753353128,-53.5075010002175,41.9398389184986
15.511,0.141609453414697,1919.64230393457,-105.14400948114,111.027960805453,-47.9200164653328,40.5023588094614
16.625,0.186769116117043,2561.94254926835,-73.7361303839781,72.2614687392969,-45.6129193927791,20.0681664142299
17.74,0.215391082610332,1908.24911512013,-84.1563614461561,106.404998686499,-50.449556385405,25.0033154284027
18.854,0.130462695223005,1671.25592359916,-178.339874825494,122.293788086739,-27.2098658646832,34.1853606852988
19.969,0.012740646873157,1917.14692054877,-381.294668810491,111.62219811364,-30.8500459805548,-4.67905332649793
21.084,0.00412389908793,2611.89771202102,-493.644649319851,75.1315754395887,-19.2914722836764,10.279938484324
22.198,0.005188992305458,2704.24208914846,-493.712958388567,67.7504997776,-8.62701310637003,29.897929653887
23.313,0.004454710972434,2997.75090218158,-484.269993529006,51.5064191365757,-16.8710973685866,30.2118810593301
24.427,0.004787365952903,3021.96642511191,-549.949159506603,39.6637237108208,9.74288914974183,50.5156966078424
25.542,0.021411117699479,1963.91397984118,-370.799818994421,100.527727444609,-4.05813385604263,35.6117583228794
26.656,0.003793060439501,2864.25387122273,-459.051608595866,59.675135562486,-15.9697767029231,26.5317830263581
27.771,0.013824169551265,2488.50031189626,-366.716360107715,84.6386446308113,-3.93183709068257,45.2426921773598
28.885,0.012572774917278,2525.61296995918,-352.351571226715,71.8949796848407,-23.7605667800009,44.6029804703408
30,0.004228170360012,3219.89681294056,-463.886755709736,35.3005196554904,-21.8765783529629,39.1366602875241
31.114,0.017138432622975,2551.66915955842,-340.732991561082,83.4568620649113,6.75373800626138,30.5128357294857
32.229,0.00488842000489,2801.06475158337,-455.233749103649,53.7488559969845,-14.6904635445896,46.9874855818347
33.344,0.017752512943051,2935.67903059026,-322.181739827226,73.4355839023409,-13.0339792622115,31.0235606396944
34.458,0.003616165916313,3327.70779982343,-499.934166991397,38.6926229019763,-10.0645112826087,29.9649702859576
