Time,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
1.022,8.66151845655763E-05,8829.09276200529,-957.597984999311,-105.454088260498,63.0620958731746,-14.3351178264475
2.136,8.79114999892358E-05,8837.62973429744,-955.949043969282,-104.926653509534,62.7233755518795,-14.0336033342754
3.251,0.029255595762535,5452.74334519618,-593.147914830406,-5.57034792439994,32.8195179480546,16.3165238274657
4.365,0.065712281287939,1579.99915295907,-217.492926841442,112.428488277472,3.8407944652753,52.2221690879749
5.48,0.060895383667524,1460.657591132,-260.423991082922,118.637853520977,11.9691776330189,49.9562022295122
6.594,0.074005985061873,2175.00589389599,-174.917057763321,89.7496687981756,1.77899224622117,49.37560284064
7.709,0.059037414682752,1656.63605696146,-246.940612293559,111.408366409649,5.92044378553483,42.5197373573
8.824,0.062760106611339,2669.64667330737,-110.549852362223,74.847389053947,-20.5370561294651,24.6322092773464
9.938,0.04240890515981,2731.64029424696,-152.949227060582,71.2334382892495,-27.3281205697805,13.5928137370998
11.053,0.043174545640986,2688.05076226174,-151.989776477559,70.2816867403207,-36.1052515109941,11.0627738032658
12.167,0.067447146359032,2745.03020333471,-114.377279057327,70.0786850577096,-23.701728278588,17.252132515516
13.282,0.114761317293018,2202.15202851611,-113.70574773076,88.5897832444578,-7.94340356476377,46.1023889574294
14.396,0.099099330732213,2253.53579905138,-110.529271664716,94.5597342859657,-23.2944765924707,25.4634084187637
15.511,0.134210847014933,2245.09181456113,-61.4077156737981,94.7111286147228,-25.8724371411504,24.9129814579078
16.625,0.115441203357136,2299.46190860515,-83.8238969215769,95.4811944539637,-21.8868318757618,23.8318532183073
17.74,0.123814420178738,2131.3221947536,-77.6568838456582,104.453954212722,-26.5885499374857,30.8016784118369
18.855,0.132919304444518,2462.11961103846,-53.9820508354483,85.7679906333714,-26.8775187799426,21.1999413644926
19.969,0.162020304546213,2322.3850184531,-29.2047517912573,89.3826244325132,-10.1034412841614,36.1839538502369
21.084,0.193574866179149,2177.59814633235,-40.0137505632413,94.1717253312809,-1.39191835835556,41.9032317501223
22.198,0.016328892744536,1318.08815022527,-382.964154598251,140.794662490705,1.80893967415243,30.8557391430564
23.313,0.00905764178347,1111.24688978467,-569.925925215089,103.205794813996,61.3855777239219,31.7438945046292
24.427,0.016483717821063,583.572355615991,-593.527286529572,91.506244503529,71.1645835889367,46.700283791198
25.542,0.017678406457902,552.058546593226,-592.639433796636,89.5327630076731,73.6405912285891,50.3240206879599
26.656,0.035542009696061,366.567051616875,-555.720573331308,109.843346121905,76.0024736259512,50.0583087436385
27.771,0.035132933390749,361.135919082094,-553.827324133424,111.872222992319,77.6038537991449,50.5983407279546
28.885,0.028312301825166,398.188648738642,-557.930747763721,109.401200696373,77.4914826283687,50.9173240818079
30,0.030419123470337,383.677499741496,-551.9985155713,114.002676439547,77.9959142749942,49.5417150989178
31.115,0.028306531157999,407.041186802024,-555.663159774449,112.477642867674,78.5213759920629,50.2161983959489
32.229,0.039062347293082,348.259226976383,-544.844533192244,116.904207786426,78.2701587341305,49.9312762766951
33.344,0.032659501149754,368.497708761362,-542.573629702314,119.831823822163,78.9961779772973,50.0753581671171
34.458,0.039162080230425,333.085425508203,-539.654064955117,119.599513694337,80.130750189634,52.257863628519
35.573,0.046867825200941,324.828833047446,-526.489734602024,123.242502201815,81.154838045209,51.5070648081902
36.687,0.052747104630975,319.308402037267,-526.653644635803,121.48785588588,78.5365388351982,51.5176241019577
37.802,0.047428459618235,329.507168544692,-529.237575806208,120.773378807545,80.3946520407026,53.3321774016646
38.916,0.06395507008621,248.296136620909,-521.753248011059,127.688222339055,79.2982381655715,51.3149938790214
