Time,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
1.022,9.23712231720068E-05,8749.93124682431,-948.965142837696,-98.65506200108,64.9591729420455,-12.5027129801521
2.136,0.074327485083652,1045.81483089991,-286.477111211581,169.128633308057,-7.70417272189346,45.3705149327497
3.251,0.065418089259524,1048.2231692509,-246.29177198839,158.26735315967,-16.5524944731707,53.1795898185785
4.365,0.056464132791678,1575.7386428185,-213.85278680669,127.619140864205,-29.6091528752306,61.5777352838303
5.48,0.052046262093714,1167.09218238565,-270.253181615319,148.82286551939,-11.7417995421589,50.3679932616782
6.594,0.065788174961818,2260.29245736682,-128.593220281041,97.9050970651717,-43.3199068271831,47.3956426071349
7.709,0.051048214210267,2126.58427248481,-148.554116009009,107.577586091028,-54.3519050894382,37.2787587871133
8.824,0.046990889651985,2186.25434476017,-162.110833964035,101.041724801127,-54.8696473669442,35.8074133571868
9.938,0.046566086487625,2089.63959813921,-170.611259394274,106.522343347783,-56.7651638564404,35.650160559159
11.053,0.083309092957003,2116.47307101154,-127.351522623712,99.26002312254,-32.2607761232305,59.0819615766781
12.167,0.051561626991478,2283.74756099914,-190.834897360078,89.4170105353544,-49.0092605013301,50.7546112940434
13.282,0.066447918793988,2044.66278823309,-139.470188804379,110.302196690173,-45.0171349807043,50.4663014367544
14.396,0.058757562662811,2141.72347614946,-173.622922179554,103.444994041872,-47.803972266488,49.2064875375856
15.511,0.082286959908322,1725.06111754989,-133.230045028276,128.463519486536,-40.5134784905281,51.365180595378
16.625,0.064914731955209,2126.94610746923,-157.835193221429,104.729564593251,-50.8462157941164,48.9828592666012
17.74,0.097038754642902,1937.87120824454,-110.179664540148,113.964325604283,-41.5889106453745,52.9107778687714
18.855,0.114154691133896,1814.18751764707,-113.401609003477,113.587398138553,-33.3401333037819,60.6630059610783
19.969,0.052806625034075,1213.80956642192,-312.414221508633,148.781938830039,-13.9479005574888,36.8072923358953
21.084,0.000293353238625,5045.61137352532,-697.274535075001,56.7262780582815,39.5122741084575,-3.35805959250168
22.198,0.000104824563523,7007.58564124415,-770.689590972915,7.44486324052359,53.858613813672,-0.56654302458071
23.313,0.000151783105087,7281.70344285537,-816.638880086822,-7.68714207868145,65.9866576025028,1.99005108258027
24.427,9.66140290585058E-05,7977.05937426279,-848.540186863471,-25.4330927519601,65.4732375011575,0.813699226782463
25.542,9.52973047691845E-05,7964.03465716034,-849.286679868535,-24.4019560402375,65.8953308533881,0.92938162098506
26.656,9.68962038248747E-05,7978.40563207657,-846.63913032227,-24.8856388804942,65.3387461198085,0.128087679027759
27.771,9.50254382199206E-05,7935.86245163679,-845.956867986615,-26.1963758013219,64.6967069377636,1.13917296067574
28.886,0.036996755510462,5950.8944698206,-642.203424958727,17.8579366889423,49.395473101644,10.4906327983505
30,0.186936719736308,2708.11324006591,-19.4548731454296,70.3405967723919,-25.6670347710395,37.1268191649367
31.115,0.133637582211376,2236.81431236439,-90.8896890573887,86.655926046072,-40.9883237772157,18.427206373783
32.229,0.131525409638036,2492.8914650088,-61.2613048002326,75.4199295175851,-47.7781566605301,10.5902137533044
33.344,0.150506753918402,2443.76233807824,-52.2739836388471,78.6295838682237,-41.1995658829803,13.6791470659018
34.458,0.156685394608786,2380.20451854112,-41.5138707778158,86.2790189541117,-34.8077113396549,17.0567869619379
35.573,0.176342849541016,2196.58152976132,-47.4388293706753,95.0311015722052,-30.2629599053419,25.6219797587023
36.687,0.215823891073752,2422.69035183886,-18.8897289533852,89.5098448324309,-18.4633132525697,32.0337864748963
37.802,0.193117693991586,2611.88498248658,-20.2276311412153,81.5906425349573,-11.9664224991341,32.63246683306
38.917,0.183960212202028,2277.67582026506,-32.0950462427426,97.51262021024,-15.784108640005,33.8988124049806
40.031,0.195440757180245,2701.50849582787,-29.9289009083972,82.1246911028671,-11.557458140473,24.1009177665837
41.146,0.177525394593512,2349.53685952843,-30.6028725528561,92.4963405288412,-13.1217145287869,33.053276708631
42.26,0.177883646916562,2783.54474109865,-32.2740829765271,77.730511796648,-11.0086262901448,24.2571128108804
43.375,0.195293718062416,2292.19094042892,-19.2782622848842,96.9475011018444,-14.666245321892,30.5999926501309
44.489,0.179140997753452,2592.52998236578,-12.6514120073883,78.9185978033115,-20.7306182377128,26.8418671405299
45.604,0.172763612380886,1963.31030326068,-48.102369943732,110.860344889221,-22.6543433530564,36.055409473216
46.718,0.15949066465272,2492.39513036198,-21.9149836255602,86.1615781826761,-15.1250389394363,30.5732370657989
47.833,0.148649971147879,2619.76675609643,-42.5981475117029,82.7719463850099,-12.8714458964061,28.8889146580661
48.948,0.144428194626971,2361.12188783257,-39.2507390841345,95.150415366614,-18.8344044089777,29.4325486917068
50.062,0.154703069894434,2684.1761595118,-33.796820946888,79.7513900826759,-13.2310197690282,29.6136238013976
51.177,0.123032788897474,2365.12063932299,-61.6646615510575,94.3301870999376,-19.3062026339378,32.5659950540018
52.291,0.137976679527839,2565.25238831981,-57.4369307506413,87.9196257673586,-11.3900082902031,27.91678731012
53.406,0.120655961672183,2300.88934515398,-59.3719687132852,96.2880223379897,-24.3787600051396,29.6600999991791
54.52,0.158123755161402,2417.93444110817,-20.2552523742187,87.1167060519678,-18.7795288804388,31.9420758179023
55.635,0.093717759820757,2206.57689473089,-97.3296445266782,98.8424297908926,-28.1814217269243,31.495893517857
56.749,0.084860919084167,1774.04357602041,-134.072366610581,123.839982223695,-27.4000392203556,36.2410700575775
57.864,0.095792113100749,2065.20816318108,-96.9909383594789,106.978329553988,-29.5768625630152,33.3469182230655
58.979,0.096843479467421,1955.45136668178,-105.891012068166,112.533258245359,-30.3652313167458,39.010636189499
60.093,0.099372927628731,1603.94585969315,-129.463796243396,130.68565498382,-24.6069543068634,39.7515053744791
61.208,0.084821445103535,1786.84749878466,-129.611964165577,123.811273808616,-29.4157002320988,35.5902307946267
62.322,0.094647573878122,2074.3004082688,-95.0396479528871,108.464175327088,-29.9035259384875,29.8934985720212
63.437,0.103161260175404,1926.18865594113,-102.083564736822,114.157050285168,-23.9403973891505,35.0743588550074
64.551,0.094944363239993,1627.34827714584,-124.796249844325,132.206164978283,-22.628595932749,34.2421401709734
65.666,0.095336627050604,1786.10991716976,-103.867726492804,125.215868527058,-33.751668249432,32.7613980811276
66.78,0.115947944640148,2072.77761396301,-65.7844131904469,107.915611352959,-39.5466161312068,33.0187759126164
67.895,0.1198932638836,2276.11427611024,-64.3604276866903,93.2885944382684,-40.4762397662359,28.4346988826573
69.01,0.156405765494329,2176.88166223752,-43.9253808793461,99.3758068703407,-26.6448905603632,27.4664506108017
70.124,0.149960157371084,2382.14696742608,-39.5626445203102,90.2028511444789,-31.8207669031129,27.9976285352748
71.239,0.134364770840423,2379.84451205333,-36.8317117849406,89.696860337818,-33.1546613761781,22.7798630417741
72.353,0.103348681385642,2601.94253600299,-87.2023744611948,71.3120491175873,-36.5109597478821,17.8529306206142
73.468,0.124824878290628,2085.56088839624,-68.0435962745175,106.165340589831,-30.1281464545869,32.7179961540051
74.582,0.106420852762149,1953.2755054196,-90.3539983236094,113.605226907782,-35.8184549540453,32.7723411411292
75.697,0.102739662614708,2190.93626397167,-74.616313716916,100.219725681934,-33.4148807979338,33.4348148536903
76.811,0.163560219917248,1785.44763923977,-44.369253679219,123.454559965436,-24.5219404245275,33.0772428383134
77.926,0.149800615364309,2782.1542774829,-28.8966420920266,74.2114721726213,-6.28705553589938,34.9930659539619
79.041,0.123885999690096,1952.6988092532,-75.3437849119747,111.16447472428,-27.5131312117765,31.4687255677259
80.155,0.115890073559018,1690.3854617712,-98.3151543665514,127.730239183859,-27.9124129584051,30.4268852282711
81.27,0.150068380908673,1685.67440256591,-88.2321634324581,122.472674077039,-17.0796695802544,29.8199271145167
82.384,0.137457241562716,1618.84402971105,-80.9778768769277,131.41803846655,-25.3298575147811,29.9718858173245
83.499,0.153723962007697,1760.20775244508,-104.4279720439,114.694458035937,-18.3986013972386,27.1438287118711
84.613,0.126037216042575,1661.12192287347,-94.9933877930357,129.231038435102,-24.6916895747445,28.2203004522947
85.728,0.104398261975943,1795.35219779033,-107.930983051829,116.441499365146,-26.343522630632,32.5148354582218
86.843,0.128225067681838,1529.12296300716,-94.2344497381868,139.412527905363,-31.8156686475194,32.4378088192616
87.957,0.139861198805031,1717.13172444773,-74.7168231181367,127.258564230207,-33.0826358476936,32.6069883222705
89.072,0.147444317987496,1713.95282643441,-74.6957149304906,126.025356755459,-33.5343047112855,34.4209908236782
90.186,0.147569511672437,1950.6887390547,-57.8442064505646,111.622247712757,-29.0333202477425,34.594507981184
91.301,0.167756072960871,1790.11824537439,-60.3548186610414,121.115478849028,-28.9876876746621,32.4412469535691
92.415,0.149166334622815,1909.47753334011,-57.5893865123073,115.832886544835,-33.8871474864771,31.4788283838
93.53,0.179914703165146,1697.43453741169,-52.6193585787811,127.791038668015,-28.826209122215,29.7376999812362
94.644,0.136178478538007,2270.39881145995,-44.4002377004025,97.2318471671338,-22.2664861831487,28.2710104645463
95.759,0.138147897590849,2675.79817283482,-33.0341762563555,72.7777104624618,-19.3155740580353,29.4501959679872
96.874,0.108877453079184,2495.38433409824,-84.7027182671418,72.0458138080639,-45.4996899142985,25.3267245232731
97.988,0.131635765307336,2176.12774723805,-84.3942124314551,89.7722101418366,-46.060916355797,23.4118512010413
99.103,0.09914129084034,1392.7713818844,-124.836510551913,154.416208869422,-34.4189620636828,29.1822049436868
100.217,0.082676933618076,1074.0711759896,-175.772562447328,181.205896398444,-34.2759858731654,28.3375907680296
