Time,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
1.022,9.10465349348653E-05,7866.69532095564,-814.498030319363,-38.1060692757132,25.2438919340798,-15.7915468834443
2.136,0.000255416882955,7026.10128971357,-777.185344538129,-14.5287867082039,19.2698612991589,-22.7118218908164
3.251,0.007868416600022,1665.40499200097,-505.066802146466,131.655110855386,-23.2086893199679,-55.7738061333073
4.365,0.006044011202463,1498.66360575142,-524.45050691291,138.750881694396,5.10931401295288,-46.9144019265538
5.48,0.005292765325383,1358.35958911682,-505.684362060765,150.315791808695,13.2710386801451,-32.5762412602308
6.594,0.008474624015179,1167.3281169866,-467.993589338204,163.421668367053,9.77390578466905,-19.6740567457197
7.709,0.008010614821644,1062.16314214878,-459.679556276811,170.901894977624,13.5999562709392,-13.4295224945589
8.824,0.009902897991551,902.17510535931,-456.796201474188,172.899928560208,20.0592806287824,0.222805752932861
9.938,0.009139469789613,1026.02407726283,-436.307786905568,170.346684119962,10.5381071904163,-7.1227002387589
11.053,0.009723506053771,1091.53186074241,-435.083066576015,160.909909276062,24.090459016119,-5.4344612468424
12.167,0.009122697488674,1148.39367798073,-423.19236834613,161.293971556955,21.0223421940968,-7.21701267167309
13.282,0.012326919884419,962.622979789282,-424.180576211065,171.547483710637,11.9303390807901,-0.211016049083618
14.396,0.011794670580105,945.33255851544,-419.737414050854,176.492401176233,12.8548969049375,-5.71672506661954
15.511,0.012020008864239,907.010581021628,-428.551270909062,169.318299377849,21.3548807377594,7.83329017784096
16.625,0.011338333175036,1259.4973797749,-402.68932373444,140.456315362927,36.7160567239334,13.1182405768025
17.74,0.011032090185248,1278.62326127351,-401.172394129534,143.554332187866,25.145673914606,17.8828145109708
18.854,0.009584674984669,1274.78520439131,-399.338984810131,141.582725974296,16.5858422355117,23.7542950233399
19.969,0.00868907933779,1412.78280663899,-400.586506160647,131.860188331631,9.91097385715062,28.0944487642967
21.084,0.008025251735384,1444.64986557332,-384.829643805177,140.871657046977,-5.02412504262858,15.4876847918005
22.198,0.008573799385087,1600.59396358039,-364.744507392123,131.795733670523,-12.0480030030559,23.4933549348261
23.313,0.008925299658531,1547.87027766235,-367.704343718564,128.123569143394,-1.71714474679629,34.9028884959705
24.427,0.008991410471354,2016.69140443892,-332.916661730189,108.778812574237,5.72687730838791,28.7022264216979
25.542,0.012009471599681,1740.65746651314,-336.65601625682,116.275106429244,17.793058788753,38.0485952703336
26.656,0.012010037811989,1851.54913403916,-322.566826676945,107.105506543697,9.7596386983212,43.7117152750024
27.771,0.014939758351409,1844.87605261667,-309.403296235889,104.229680317981,3.0265851477325,45.9983011152827
28.885,0.019781028150988,1692.87878018443,-292.402354868086,113.026922749646,0.407552019065172,47.6408366602839
30,0.020426223550322,1894.5171338412,-267.561222975094,106.038762883947,0.626576155961526,46.82852201022
31.115,0.023135068119738,1584.69940661649,-289.684457569517,114.920367838398,6.15966736552283,44.9812598580834
32.229,0.021242756931995,1670.97263506436,-300.035561598999,111.100332974168,18.3983130619886,43.5981108650679
33.344,0.022130716029512,1612.79234368009,-296.046602531646,112.099354159034,14.9367764581971,43.0388856405843
34.458,0.020158528966448,1609.98882443467,-313.404853643278,109.674055027767,20.515614142235,45.1117873063909
35.573,0.016423984019994,1638.96005713601,-316.038726047682,117.05691327614,20.488854044656,40.9513976498488
36.687,0.017561479897352,1602.10181616385,-320.667129872682,117.6087902434,21.1798586290465,37.1987592645756
37.802,0.013324650590684,1763.69260954214,-333.935794267283,109.543926546528,19.847732509541,37.9447363657861
38.916,0.015451071382946,1788.29961878913,-328.238522356519,107.30386968097,15.6519156297492,35.1896083191871
40.031,0.016470200928211,1670.51586725798,-319.874643875676,115.650118342802,14.7377036435439,33.6731969751253
41.145,0.018973503674526,1536.61950727701,-314.962171786473,121.367813166035,14.7338451929546,37.3713264319893
42.26,0.017541094053787,1583.33116839117,-315.11380712118,117.864819155436,20.4517421539,39.8843036556121
43.375,0.021253509740509,1713.03252673744,-291.795963266965,110.640959420957,10.1009304407758,42.2101778381262
44.489,0.021564598036597,1577.02845571433,-305.490519039966,116.776191688163,14.0396279246702,39.1871615878363
45.604,0.018767366532051,1604.24845821015,-321.083324323298,117.382065441675,26.6321365666793,39.4332791098196
46.718,0.023064938983734,1364.43088235677,-327.877038118754,121.193403123653,24.5798545272059,43.1681126082644
47.833,0.016924428560201,1599.54312434388,-309.462343488142,121.341967628701,16.7763274497424,35.1175705275591
48.947,0.01723710115751,1934.01696100972,-294.943872937925,110.878081082784,11.6907295319443,32.660462873691
50.062,0.018529499552329,2127.44737983166,-280.396765590996,103.13517182148,15.8451355204465,31.0190914667729
51.176,0.021524560436319,2425.52201852459,-239.112319207004,94.297326293859,6.35666415984511,18.6272633123459
52.291,0.017010727174607,2106.16266022801,-298.600245422846,104.634541989639,23.6351777458516,24.8909700272836
53.406,0.031497947126648,1520.72771694932,-261.522615470665,128.881103336524,27.6789418150834,27.3404688637703
54.52,0.036269099159246,1544.0860167839,-242.04028288961,131.279659680709,23.3893237595013,20.7819021181398
55.635,0.033700203707885,1572.45643486891,-255.160343868083,126.476502758564,27.1387891589902,25.0774300379821
56.749,0.03078002625568,1544.65338868135,-263.861886199019,127.213794651941,27.1595151121917,28.1462372645243
57.864,0.031135339227329,1541.86581888218,-257.728344020772,131.294222532243,21.278207483073,20.0689713537519
58.978,0.033119150733708,1561.42023673492,-253.271142411194,129.378033907847,23.9186938028873,20.5145600394299
60.093,0.036091650826008,1200.27423005335,-283.422379405803,144.1366657533,15.6972877073732,39.9234249493707
61.207,0.034933199707312,1135.00690059982,-276.083039478798,153.705016787569,16.8519190484599,33.5189544350854
62.322,0.036297362767771,1245.78162843358,-271.016957411708,142.033671793233,16.3358234486579,47.9092454167158
63.436,0.020559135918103,1625.69366197842,-305.414746832158,122.340767798963,15.7519296936941,44.5342373331402
64.551,0.030320542400796,1126.16464942285,-292.492591044705,155.630197441398,21.3474195288239,26.5994689125152
65.666,0.036463843656211,1197.01147054956,-277.729919667144,148.743641739481,10.5503428100559,33.3895901323644
66.78,0.040592984049797,1226.71929061813,-263.505881727465,149.146212777497,13.1950237090706,28.2658176651635
67.895,0.02972331479371,1367.58942537452,-278.025796677322,138.747315451835,7.43700864470165,36.1170706611032
69.009,0.02783145266342,1428.84445517892,-276.287198521247,138.17612623521,12.3009827459452,29.5106434542722
70.124,0.029341684509829,1603.95262691996,-257.40190926116,133.773793950186,8.52861569902554,24.7027647968979
71.238,0.026549177718304,1609.578596261,-265.690971790165,132.534570924624,0.984693853766935,29.9576315916928
72.353,0.034820651039656,1545.84186807822,-247.406293119616,138.013642150346,-0.713998331092552,23.4598106015149
73.467,0.030165998619853,1593.45388856296,-262.524776879536,131.327861798505,-0.463830102342,27.7202149348299
74.582,0.036116956532976,1553.25725813746,-253.156321603626,133.457603458824,6.24702906533366,29.0869978766789
75.697,0.033569802465213,1568.30845424406,-259.152106058232,127.645155877817,-6.9051147537109,30.141711020383
76.811,0.02773392861366,1447.72142274613,-268.979130031498,139.798085414374,8.48167741134971,21.4422445368031
77.926,0.025861364995599,1371.26478002266,-278.793188947837,145.546699202912,16.2202088185128,17.1443574738203
79.04,0.024858180565381,1329.94035871948,-286.020948092361,147.396309347769,6.06657809941623,13.7642405075656
80.155,0.022476130661954,1457.53267905848,-307.355580616702,136.830415900289,8.6735819495349,21.3979913460898
81.269,0.03966980320931,1436.85897644025,-245.668778557537,139.685576066392,8.05470340437373,13.9784254859245
82.384,0.055563261988708,1376.17202657068,-233.116095521205,143.413530739234,7.84891629346431,9.11537374787905
83.498,0.060821494145336,1369.04509350023,-228.866055716595,143.794181890758,5.9214287162388,8.7133849818366
